absorbance_1.11_1A,1.11_1A,1.11_2A,1.11_3A,1.11_4A,1.11_5A,6.9_1,6.9_2,6.9_2_NoCbbes_DiffDrop_Drop1,6.9_2_NoCbbes_DiffDrop_Drop2_1,6.9_2_NoCbbes_DiffDrop_Drop2_2,6.9_2_NoCbbes_DiffDrop_Drop2_3,6.9_2_NoCbbes_SameDrop_1,6.9_2_NoCbbes_SameDrop_2,6.9_3,6.9_4,6.9_5
570.8262,0.0295939,0.04969159,0.05817854,0.04887555,0.07856925,0.07202791,0.0632769,0.08163939,0.0449518,0.07754793,0.09675041,0.08716938,0.06073021,0.03121883,0.02299213,0.02926328
571.3083,0.03077443,0.04830023,0.05497784,0.05008554,0.06782253,0.06733276,0.06705468,0.08169465,0.04374261,0.07645013,0.09687136,0.09004325,0.06191391,0.0332135,0.02307158,0.02413501
571.7905,0.03060133,0.04788966,0.05186781,0.04969246,0.05935328,0.06230836,0.07039291,0.08048312,0.04034097,0.07407811,0.09496054,0.09055198,0.06192864,0.03577087,0.02268535,0.01984138
572.2726,0.02882531,0.04836548,0.04987135,0.04818739,0.05455943,0.0578825,0.07262538,0.07812052,0.03583203,0.07053392,0.09158035,0.08895142,0.06059741,0.03824018,0.02209737,0.01715968
572.7547,0.02590822,0.04855707,0.04856779,0.04589684,0.05245779,0.05461506,0.07340975,0.07509569,0.03288501,0.06621208,0.08803321,0.08648874,0.05906491,0.0401552,0.02283707,0.01648931
573.2368,0.02187122,0.0498569,0.05080299,0.04339734,0.05496301,0.05266063,0.07274835,0.07220723,0.03015622,0.0617603,0.08525984,0.08300456,0.05583349,0.04133479,0.02261516,0.0178685
573.7189,0.01796881,0.05100361,0.0552292,0.04068393,0.05958391,0.05183408,0.07128215,0.07039887,0.02984188,0.05795752,0.0844994,0.08009228,0.05263802,0.04188148,0.02266937,0.02102249
574.201,0.01523396,0.05173458,0.06115298,0.03769185,0.06488655,0.05181447,0.0698278,0.07042493,0.03225909,0.05544854,0.0861342,0.07850438,0.05034677,0.04203849,0.02291868,0.02549028
574.6832,0.01442999,0.05213857,0.06763016,0.03433308,0.06956947,0.05231844,0.0691857,0.07265148,0.03701234,0.05461121,0.08984248,0.07853706,0.04972707,0.04202404,0.02310902,0.03067289
575.1653,0.01575617,0.05265841,0.07361196,0.03058598,0.0727741,0.0532026,0.06973836,0.07680151,0.04286514,0.05538258,0.09456737,0.07978986,0.05112474,0.04189339,0.02293849,0.03588352
575.6474,0.01872287,0.05383312,0.0782018,0.02661344,0.07428558,0.05445775,0.07134579,0.08196165,0.0481365,0.0572598,0.09895523,0.08137707,0.0542641,0.04153313,0.02222277,0.04048734
576.1295,0.02239361,0.05598893,0.08071424,0.02276974,0.0744634,0.05608948,0.07343617,0.08672418,0.05109409,0.05943456,0.1017066,0.0821906,0.05824635,0.0407878,0.02099122,0.04397796
576.6116,0.02581528,0.05898188,0.08084497,0.0194838,0.07402085,0.05800052,0.07525897,0.08965932,0.05071686,0.06111658,0.1020383,0.08141242,0.06181168,0.03967625,0.01952888,0.04613258
577.0938,0.02842018,0.06227141,0.07872107,0.01710588,0.07360399,0.05996507,0.07622735,0.08987576,0.04706985,0.06187756,0.09990236,0.07885243,0.06385651,0.03851067,0.01823549,0.0470349
577.5759,0.03010316,0.06507132,0.0749049,0.01581735,0.07361657,0.06167393,0.07614811,0.08714984,0.04112726,0.06171399,0.09582152,0.07498855,0.06368041,0.03788929,0.01750684,0.04696273
578.058,0.03116418,0.06664526,0.0702392,0.01560875,0.0741355,0.06285083,0.0752722,0.08192559,0.03427137,0.06097307,0.09061268,0.07070699,0.06120226,0.03848938,0.01759451,0.04620907
578.5401,0.03201561,0.06664355,0.06575058,0.0163557,0.07495078,0.06335068,0.07410283,0.07501057,0.02779166,0.0600827,0.08513767,0.06692426,0.05692532,0.04075717,0.01849848,0.04492817
579.0222,0.03303223,0.0651878,0.06256755,0.01784151,0.07573753,0.06315677,0.07312094,0.06740713,0.02262096,0.05935939,0.08021605,0.06425962,0.05174829,0.04471467,0.02004163,0.04310041
579.5043,0.03443133,0.06284641,0.06158353,0.01983864,0.07620488,0.06235334,0.07257327,0.06007206,0.01906601,0.05881421,0.07653889,0.06277889,0.04670524,0.04977018,0.0219258,0.04057546
579.9865,0.03630348,0.06031542,0.06315133,0.02210604,0.07623801,0.06104483,0.07244438,0.05371866,0.01680266,0.0581625,0.07456025,0.0620228,0.04262641,0.05486455,0.02387303,0.0372067
580.4686,0.03868008,0.05818133,0.06688528,0.02443466,0.07587188,0.0593055,0.07252271,0.04880212,0.01511276,0.05694757,0.07449967,0.06123443,0.04005115,0.05864842,0.02567248,0.03298861
580.9507,0.04159747,0.0566576,0.07177186,0.02659558,0.07521687,0.05715731,0.07246815,0.04543566,0.01327209,0.05483434,0.07618503,0.05971738,0.03905388,0.06002488,0.02722328,0.02815988
581.4328,0.04506152,0.05555277,0.07659778,0.02834019,0.07433937,0.05462486,0.07198086,0.04347412,0.0108858,0.05183925,0.07910258,0.05715423,0.03933379,0.05854286,0.02849509,0.0231542
581.9149,0.04896361,0.05442146,0.08027992,0.02941621,0.07318917,0.05181825,0.0708914,0.0426335,0.007987473,0.04839076,0.08248685,0.05368627,0.04036706,0.0544554,0.02942844,0.01852654
582.397,0.05298234,0.05283812,0.08225098,0.02965061,0.07160399,0.04899283,0.06919085,0.04262295,0.004969424,0.04518498,0.08554764,0.0498032,0.04161201,0.04861422,0.02988251,0.01476521
582.8792,0.05657995,0.05063064,0.08252949,0.02903664,0.06940846,0.046524,0.06699988,0.04321414,0.002361832,0.04290447,0.08770236,0.04610091,0.04265343,0.04212926,0.02964762,0.01216646
583.3613,0.05904767,0.04796228,0.0816249,0.02773536,0.06652597,0.0448608,0.06447925,0.04422644,0.0006334409,0.0420485,0.08865225,0.04307954,0.04319512,0.03620815,0.02851846,0.01080685
583.8434,0.05976994,0.04524788,0.08026294,0.02606575,0.06314816,0.04433416,0.06188005,0.04552303,0.0,0.04272393,0.08849605,0.04101196,0.04310467,0.03184263,0.02646921,0.01052285
584.3255,0.05845951,0.0429614,0.07903828,0.02436395,0.05977474,0.04501346,0.05950787,0.04698922,0.0003639329,0.04466259,0.08759751,0.03992245,0.04235158,0.02967829,0.02377732,0.01099995
584.8076,0.05528267,0.04150886,0.07825118,0.02287156,0.05717268,0.04663082,0.05775854,0.04853084,0.001415929,0.0473291,0.08644912,0.03969916,0.04099023,0.03000034,0.0210534,0.01186259
585.2897,0.05079789,0.0410739,0.07779823,0.02162213,0.05609285,0.04865748,0.05703865,0.05010472,0.00279899,0.05017991,0.08547048,0.04021502,0.0391443,0.03269271,0.0190461,0.01282404
585.7719,0.04574037,0.04162763,0.07731909,0.0204443,0.057004,0.05050339,0.05764874,0.05172642,0.004257438,0.05286182,0.08489194,0.0413978,0.03699689,0.03733165,0.01838649,0.01373688
586.254,0.0407989,0.04301078,0.07637982,0.01908492,0.05991453,0.05171229,0.05965166,0.0534567,0.005700854,0.05528846,0.08476646,0.04321999,0.03479447,0.04324413,0.01937996,0.01457719
