absorbance_5.11_1A (2),5.11_1A (2),5.11_1A,5.11_2A (2),5.11_2A,5.11_3A (2),5.11_3A,5.11_4A (2),5.11_4A
612.7704,0.01232519,0.02752222,0.101408,0.04918817,0.02178066,0.04082844,0.04982992,0.01711049
613.2525,0.009107938,0.02806044,0.1002185,0.04933662,0.02110132,0.04043084,0.0502173,0.01672682
613.7346,0.006036064,0.028019,0.0988107,0.04982748,0.02097371,0.04090869,0.05029126,0.01638613
614.2167,0.003638247,0.02754505,0.09736063,0.05033547,0.02133967,0.04206403,0.05009323,0.01624697
614.6989,0.002239678,0.02683358,0.09607071,0.05057055,0.0220205,0.04354941,0.04968023,0.01632635
615.181,0.001890576,0.02605211,0.09513236,0.05039573,0.02278919,0.04499902,0.04910102,0.01653554
615.6631,0.002363009,0.02529536,0.09468377,0.04988198,0.02343007,0.04611817,0.04839211,0.01673438
616.1452,0.00325395,0.02454896,0.09473288,0.04927558,0.02382106,0.04678372,0.04758025,0.0168136
616.6273,0.004142194,0.02371676,0.09513505,0.0488726,0.02394184,0.04701841,0.04669916,0.01674872
617.1094,0.004720229,0.02267485,0.095607,0.04888569,0.02383671,0.04692771,0.04580727,0.01661176
617.5916,0.004918224,0.02135867,0.09584174,0.04931379,0.02355091,0.04660226,0.04498777,0.01653428
618.0737,0.004878801,0.01982078,0.09562028,0.04994628,0.02307188,0.04607266,0.04433833,0.01664146
618.5558,0.004866827,0.0182561,0.09491149,0.05043979,0.02231152,0.04531661,0.04395466,0.01699175
619.0379,0.00511923,0.01694886,0.09390126,0.05049361,0.02115108,0.04431475,0.04389685,0.01754217
619.52,0.00576622,0.01620645,0.09293308,0.04995709,0.01950644,0.04311012,0.04417289,0.01816303
620.0021,0.006797039,0.0162624,0.09239335,0.04889805,0.01740127,0.04185,0.04472275,0.01867974
620.4843,0.008099593,0.01717259,0.09253643,0.04756128,0.01498613,0.04075083,0.04542855,0.01895116
620.9664,0.009520449,0.01879055,0.09339754,0.04628038,0.01252231,0.0400449,0.046127,0.01891357
621.4485,0.01092338,0.02077692,0.09474296,0.04535317,0.01030905,0.03988839,0.04664153,0.01861321
621.9306,0.01221997,0.02272787,0.09616783,0.04492477,0.00857126,0.04029406,0.04684101,0.018187
622.4127,0.01333848,0.02426076,0.09720479,0.04497121,0.007412482,0.04113286,0.04666105,0.01783189
622.8948,0.01418426,0.02514431,0.09750727,0.04532058,0.006781036,0.04218794,0.04613227,0.01774281
623.377,0.01462531,0.02536854,0.09699103,0.04575001,0.006516354,0.04326325,0.04536322,0.01804362
623.8591,0.01448661,0.02513105,0.09586221,0.04604726,0.006412303,0.04424313,0.04451661,0.01875784
624.3412,0.013615,0.02476793,0.0945696,0.04608465,0.006310625,0.04512814,0.04375236,0.01977846
624.8233,0.01196368,0.02460538,0.09361705,0.04584255,0.00616527,0.04598584,0.04317001,0.02089587
625.3054,0.009653936,0.02486366,0.09344055,0.0453914,0.0060552,0.0468655,0.04278912,0.02182201
625.7875,0.00699,0.02555205,0.09422813,0.04485472,0.006153975,0.04770944,0.04254817,0.02227871
626.2697,0.004372751,0.02648521,0.09587647,0.0443547,0.006648248,0.04834369,0.04235829,0.02209194
626.7518,0.002232,0.02735127,0.09803175,0.04399035,0.007687306,0.04851646,0.04215362,0.02123247
627.2339,0.0008888412,0.02784622,0.1002187,0.04380652,0.009317064,0.04802093,0.04194666,0.01985348
627.716,0.0004844908,0.02778497,0.1020117,0.04379518,0.01147164,0.04680354,0.0418279,0.0182381
628.1981,0.0009904858,0.02712552,0.1031048,0.04389814,0.01398084,0.04501232,0.04193673,0.016759
628.6802,0.002226273,0.02596784,0.1034094,0.0440216,0.01660643,0.04297968,0.04238313,0.01575767
629.1624,0.003932667,0.02448581,0.1030393,0.04406188,0.01909334,0.04111025,0.04318275,0.01544389
629.6445,0.005802901,0.02287903,0.1022672,0.04392603,0.02118277,0.03979497,0.044218,0.01584214
630.1266,0.007554667,0.02130958,0.1014239,0.04357535,0.02267953,0.039258,0.04525755,0.01675489
630.6087,0.008968247,0.01988282,0.1007991,0.04304905,0.02348119,0.03950933,0.0460352,0.01782115
631.0908,0.009898852,0.01866943,0.1005835,0.04247353,0.0235859,0.04036068,0.04632295,0.01858548
631.5729,0.01031462,0.01771865,0.1008084,0.04202763,0.02309244,0.04151528,0.04603856,0.01866541
632.0551,0.01029919,0.01707977,0.1013599,0.04188919,0.02216238,0.04267991,0.04527451,0.01785842
632.5372,0.01005654,0.01680611,0.1020076,0.04218039,0.02098986,0.04364195,0.04428738,0.01620417
633.0193,0.009864606,0.01693002,0.1024903,0.04290709,0.01974335,0.04433616,0.04340163,0.01397881
633.5014,0.01002437,0.01743885,0.1025799,0.04394608,0.01854883,0.04482368,0.04291879,0.01161661
633.9835,0.01079496,0.01825076,0.1021412,0.0450589,0.01748914,0.04524247,0.04302756,0.009609405
634.4656,0.01229426,0.01922902,0.1011803,0.04597616,0.01660854,0.04572289,0.04373677,0.008333751
634.9478,0.01446789,0.02020674,0.09983772,0.04646371,0.01593513,0.04633591,0.04488724,0.007982236
635.4299,0.0170851,0.02102791,0.09835824,0.0463956,0.01549543,0.04706547,0.04619645,0.008520257
635.912,0.01982561,0.02159455,0.09700169,0.04579473,0.01530962,0.04782748,0.04736769,0.009728787
636.3941,0.02235068,0.02186653,0.09599718,0.04481275,0.01538329,0.04850861,0.04814813,0.01127734
636.8762,0.02439191,0.02184743,0.09548885,0.04367789,0.01569299,0.04901186,0.04838498,0.01282273
637.3583,0.0258153,0.0215547,0.09551343,0.04260122,0.01618565,0.04929382,0.04804876,0.01411798
637.8405,0.02660262,0.02099862,0.09602133,0.04173654,0.01678237,0.04936896,0.04721199,0.01502633
638.3226,0.02682104,0.02018273,0.09690081,0.0411394,0.0173954,0.04930246,0.04603122,0.01552949
638.8047,0.02656735,0.01912344,0.09802149,0.04077462,0.01795025,0.04917821,0.04470199,0.0156887
639.2868,0.02593483,0.01788404,0.09924526,0.04055341,0.01838476,0.04908016,0.04345271,0.01559401
639.7689,0.02499569,0.01659387,0.1004447,0.04038414,0.01864878,0.04906411,0.04250233,0.01531652
640.251,0.02380485,0.01542819,0.1015181,0.04022378,0.01870077,0.04914512,0.0420056,0.01487816
640.7332,0.02242967,0.01458855,0.1023765,0.04010238,0.01850319,0.04930086,0.04203295,0.01425374
641.2153,0.02096189,0.01423842,0.1029541,0.0401243,0.01804075,0.04948463,0.04253278,0.0133922
641.6974,0.01951149,0.01445126,0.1032125,0.0404241,0.01734493,0.04964891,0.04335196,0.01225812
642.1795,0.01820064,0.01519841,0.1031376,0.04113023,0.01652085,0.04976232,0.0442642,0.01086429
642.6616,0.01712781,0.01635353,0.1027445,0.04229675,0.01574822,0.04982302,0.04504533,0.009301724
643.1437,0.01634485,0.01774142,0.1020738,0.0438663,0.01523467,0.04985387,0.04554529,0.007729375
643.6259,0.01585469,0.01916287,0.101194,0.04564837,0.01517152,0.04988842,0.0457168,0.006367679
644.108,0.01561683,0.02044643,0.1001932,0.04735444,0.01563908,0.04994803,0.04563177,0.005435815
644.5901,0.01557515,0.02146944,0.09917042,0.04867643,0.01656438,0.05002721,0.04543673,0.005089534
645.0722,0.01567486,0.02214777,0.09823453,0.04934777,0.01771556,0.05009009,0.04530763,0.005388244
645.5543,0.01587918,0.02244153,0.09748083,0.04924564,0.0187827,0.05008775,0.04537325,0.006264546
646.0364,0.01616515,0.02234762,0.09697603,0.04841676,0.01949491,0.04998429,0.04568034,0.00755138
646.5186,0.01650551,0.02190804,0.0967463,0.0470675,0.0197131,0.04977946,0.04619253,0.009010674
647.0007,0.01685433,0.02121904,0.09676395,0.04549208,0.01950996,0.04951936,0.04681592,0.01041184
647.4828,0.01714328,0.02043433,0.09695339,0.04398943,0.01913971,0.04928263,0.04744063,0.01157899
647.9649,0.01728375,0.01976539,0.09720353,0.04280581,0.01895972,0.04915741,0.04796939,0.01241239
648.447,0.01720022,0.01942652,0.0974085,0.04206247,0.01925766,0.04919779,0.04834188,0.01290249
648.9291,0.01685274,0.01959053,0.0974991,0.04176078,0.02013761,0.04940356,0.04852733,0.01309819
649.4113,0.01625725,0.02034283,0.09746734,0.04181206,0.02145973,0.04971634,0.04850601,0.01307397
649.8934,0.01548458,0.02164798,0.09736638,0.04210005,0.02290569,0.05004538,0.04825632,0.01289111
