absorbance_3.8_1A,3.8_1A,3.8_2A,3.8_3A
754.5127,0.03220763,0.05896271,0.05213511
754.9948,0.03258169,0.0594204,0.05230496
755.4769,0.03281238,0.0595599,0.05250948
755.959,0.03288054,0.05940707,0.05266986
756.4412,0.03275968,0.0590246,0.05274237
756.9233,0.03242054,0.05849138,0.05272142
757.4054,0.03184759,0.05789,0.05263558
757.8875,0.03106079,0.05728988,0.05253282
758.3696,0.03012886,0.0567484,0.05246404
758.8517,0.02917158,0.05630669,0.05246988
759.3339,0.02832747,0.05598228,0.05256424
759.816,0.02773261,0.05576599,0.05273327
760.2981,0.02748938,0.05561639,0.05293919
760.7802,0.02761295,0.05547708,0.05312289
761.2623,0.02804812,0.05527857,0.05322663
761.7444,0.02867455,0.05496469,0.05321153
762.2266,0.02935017,0.05451462,0.05307048
762.7087,0.02993627,0.05395356,0.05283
763.1908,0.03033734,0.05335296,0.05254092
763.6729,0.03052131,0.05280355,0.05225664
764.155,0.03051269,0.05239625,0.05201802
764.6371,0.03037874,0.0521846,0.05183518
765.1193,0.03019722,0.05216484,0.051686
765.6014,0.0300398,0.05227414,0.05152321
766.0835,0.02994693,0.05240837,0.05129641
766.5656,0.02992117,0.05246156,0.05097299
767.0477,0.02993002,0.05234894,0.0505484
767.5298,0.02991756,0.05204151,0.05005091
768.012,0.02982275,0.05156923,0.04952721
768.4941,0.02959121,0.05101589,0.04903096
768.9762,0.02919581,0.05049149,0.04860526
769.4583,0.02864558,0.05010044,0.04827602
769.9404,0.02798985,0.0499258,0.04806107
770.4225,0.02730817,0.05000379,0.04797832
770.9047,0.02669267,0.05032313,0.04805537
771.3868,0.02623032,0.05082893,0.04833042
771.8689,0.02596964,0.05143952,0.04883398
772.351,0.02590718,0.05206158,0.04956603
772.8331,0.02598009,0.05260476,0.05046958
773.3152,0.02608797,0.053007,0.05142924
773.7974,0.02611778,0.05324138,0.05227961
774.2795,0.02597965,0.05332252,0.05283528
774.7616,0.02564022,0.05329747,0.05295253
775.2437,0.02512953,0.05323321,0.05255817
775.7258,0.02453307,0.05319604,0.0516823
776.2079,0.02395377,0.05322767,0.0504493
776.6901,0.02348437,0.05333754,0.04905796
777.1722,0.02317072,0.05349887,0.04773116
777.6543,0.02299985,0.05366377,0.04664612
778.1364,0.02290957,0.05377639,0.045916
778.6185,0.02281513,0.05379301,0.0455665
779.1006,0.02264744,0.05369486,0.04555517
779.5828,0.02236837,0.05348637,0.04579902
780.0649,0.02198593,0.05319072,0.04620914
780.547,0.02154398,0.0528365,0.04671947
781.0291,0.02111061,0.05245174,0.04728467
781.5112,0.02075855,0.05205809,0.04787736
781.9933,0.02054907,0.05167132,0.04847242
782.4755,0.02053251,0.05130651,0.04902609
782.9576,0.02073993,0.05097935,0.04947231
783.4397,0.02118022,0.0507035,0.04973209
783.9218,0.02183311,0.05048753,0.04972239
