absorbance_6.1_1A,6.1_1A,absorbance_6.1_2A,6.1_2A,6.1_3A,6.1_4A
648.0,0.0349,648.447,0.06241924,0.04020026,0.04087634
648.0,0.0355,648.9291,0.06280967,0.04315551,0.04069345
649.0,0.0364,649.4113,0.06277416,0.0458949,0.0404662
649.0,0.0377,649.8934,0.06236078,0.04823025,0.04036364
650.0,0.0391,650.3755,0.06164457,0.05007379,0.04055122
650.0,0.0406,650.8576,0.06072393,0.05140316,0.04114308
651.0,0.0421,651.3397,0.05970826,0.05221507,0.04215805
651.0,0.0436,651.8218,0.05872145,0.05249547,0.04351668
652.0,0.045,652.304,0.05788635,0.05222321,0.045049
652.0,0.0464,652.7861,0.05729173,0.05140224,0.04655467
653.0,0.0477,653.2682,0.05698223,0.05009805,0.0478403
653.0,0.0489,653.7503,0.05694074,0.04845887,0.04878254
654.0,0.0498,654.2324,0.05710069,0.04668578,0.04936334
654.0,0.0505,654.7145,0.05736243,0.04501004,0.0496673
655.0,0.0509,655.1967,0.05762293,0.04362778,0.04985238
655.0,0.0511,655.6788,0.05780581,0.04264282,0.05008023
656.0,0.051,656.1609,0.05786349,0.04205846,0.05046997
656.0,0.0509,656.643,0.05777943,0.0417833,0.05103864
657.0,0.0505,657.1251,0.05755479,0.04168328,0.05169805
657.0,0.05,657.6072,0.05719782,0.04162108,0.05227493
658.0,0.0492,658.0894,0.05672111,0.04150844,0.05258205
658.0,0.0481,658.5715,0.05614698,0.04132411,0.0524986
659.0,0.0468,659.0536,0.05551957,0.04110675,0.05201616
659.0,0.0453,659.5357,0.05490402,0.04093371,0.05126302
660.0,0.0438,660.0178,0.05437178,0.04088452,0.05045172
660.0,0.0423,660.4999,0.05398479,0.04101964,0.04982264
660.0,0.0412,660.9821,0.05376792,0.04135245,0.04953754
661.0,0.0403,661.4642,0.05369992,0.04184169,0.04962823
661.0,0.0397,661.9463,0.05372232,0.04238737,0.04998847
662.0,0.0394,662.4284,0.05376622,0.04285089,0.05042227
662.0,0.0392,662.9105,0.05378352,0.04308672,0.05072403
663.0,0.0392,663.3926,0.05376889,0.04297461,0.05074874
663.0,0.0393,663.8748,0.05376705,0.04246801,0.05047158
664.0,0.0395,664.3569,0.05385839,0.0416011,0.04997775
664.0,0.0398,664.839,0.05414244,0.04048824,0.04942912
665.0,0.0402,665.3211,0.05470925,0.03928956,0.04899431
665.0,0.0406,665.8032,0.05562639,0.03821301,0.04882141
666.0,0.041,666.2853,0.05690517,0.03752831,0.04901145
666.0,0.0414,666.7675,0.05846042,0.03754615,0.04958785
667.0,0.0417,667.2496,0.06002496,0.03857753,0.0504584
667.0,0.042,667.7317,0.06113616,0.04073057,0.05138334
668.0,0.0424,668.2138,0.0613605,0.04368989,0.05211283
668.0,0.0432,668.6959,0.06062444,0.0467588,0.05253508
669.0,0.0443,669.178,0.05932312,0.04931096,0.05268991
669.0,0.0456,669.6602,0.057985,0.05112106,0.05264772
670.0,0.0469,670.1423,0.0570029,0.05225218,0.05251231
670.0,0.0482,670.6244,0.05654727,0.05282899,0.05240697
671.0,0.0492,671.1065,0.0566193,0.05291788,0.05241883
671.0,0.0501,671.5886,0.05712629,0.05251522,0.05259982
672.0,0.0508,672.0707,0.05789767,0.05160963,0.05295517
672.0,0.0515,672.5529,0.05872781,0.05024683,0.05346072
673.0,0.0521,673.035,0.05939537,0.04858223,0.05408326
673.0,0.0528,673.5171,0.05974615,0.04687248,0.05480392
674.0,0.0535,673.9992,0.05975024,0.045394,0.0556347
674.0,0.0544,674.4813,0.0595191,0.0443854,0.05661654
674.0,0.0553,674.9634,0.05927199,0.04395571,0.0577979
675.0,0.056,675.4456,0.05924793,0.04407555,0.0591981
675.0,0.0566,675.9277,0.0596384,0.04460613,0.06076714
676.0,0.0567,676.4098,0.06049614,0.0453698,0.0623665
676.0,0.0565,676.8919,0.06172235,0.04621682,0.06378633
677.0,0.0558,677.374,0.06308842,0.04705614,0.06476986
677.0,0.0549,677.8561,0.06433173,0.0478697,0.06510083
678.0,0.0539,678.3383,0.065245,0.04867674,0.06466042
678.0,0.0529,678.8204,0.06573389,0.04949454,0.06346649
679.0,0.0521,679.3025,0.06584894,0.05031326,0.06168374
679.0,0.0516,679.7846,0.06575247,0.05109696,0.05959532
680.0,0.0514,680.2667,0.06566407,0.05180652,0.05755927
680.0,0.0515,680.7488,0.06576456,0.05242996,0.05589582
681.0,0.0519,681.231,0.06614813,0.05298933,0.05483276
681.0,0.0525,681.7131,0.06679621,0.05352715,0.0544586
682.0,0.0534,682.1952,0.06760357,0.05407053,0.05472069
682.0,0.0546,682.6773,0.06842133,0.05460446,0.05546473
683.0,0.056,683.1594,0.06910811,0.05506589,0.05648253
683.0,0.0575,683.6415,0.06957698,0.05537873,0.05758059
684.0,0.0591,684.1237,0.06979929,0.05549817,0.05860033
684.0,0.0604,684.6058,0.06979904,0.05546039,0.05944978
685.0,0.0612,685.0879,0.06962307,0.05538591,0.06011526
685.0,0.0615,685.57,0.06931622,0.05545749,0.06065058
686.0,0.0611,686.0521,0.068904,0.05584984,0.06116171
686.0,0.0602,686.5342,0.06839424,0.05665414,0.06176834
687.0,0.059,687.0164,0.06779944,0.05784471,0.06258436
687.0,0.0578,687.4985,0.06716162,0.05926772,0.06367315
687.0,0.0569,687.9806,0.06656019,0.06070308,0.06502143
688.0,0.0564,688.4627,0.06611598,0.06191283,0.06653151
688.0,0.0565,688.9448,0.0659541,0.06273222,0.06804624
689.0,0.057,689.4269,0.06615838,0.06310868,0.06940891
689.0,0.058,689.9091,0.06674653,0.06308565,0.07050458
