absorbance_1.7_1A,1.7_1A,1.7_2A,1.7_3A,1.7_4A,1.7_5,2.8_1A,2.8_2A,2.8_3A,2.8_4A,3.10_1A,3.10_2A,3.10_3A,3.10_4A,3.10_5A,3.1_1,3.1_2,3.1_3,3.1_4,4.3_1A,4.3_2A,4.3_3A,4.3_4A,4.3_5A,5.1_1A,5.1_2A,5.1_3A,5.1_4A,5.1_5A
551.0594,0.02697331,0.0195101,0.06254265,0.07641489,0.02105758,0.03791718,0.04729167,0.02617111,0.04387091,0.05213103,0.04732451,0.004236531,0.02572159,0.01023932,0.006440014,0.03151111,0.0159098,0.03922848,0.04200664,0.09306876,0.02081237,0.09130254,0.00890515,0.008251972,0.05407155,0.03377201,0.0249863,0.04249855
551.5416,0.03084153,0.01260202,0.06321643,0.07588764,0.0261671,0.04258886,0.04073792,0.02353634,0.04182681,0.05184894,0.04366927,0.00144136,0.02482048,0.00694208,0.002407469,0.03011216,0.01675655,0.04140435,0.04155584,0.09018566,0.01350059,0.08825926,0.002863243,0.006082475,0.04840265,0.02936615,0.03058313,0.04597587
552.0237,0.03572822,0.006751165,0.06462364,0.07238445,0.02966784,0.04563748,0.03559509,0.02251077,0.040034,0.04940248,0.03914697,0.0,0.02296618,0.005209597,0.001390494,0.02729302,0.01850769,0.04384942,0.04155089,0.08963633,0.008172311,0.08417287,0.0,0.004630476,0.04389758,0.02630693,0.03690684,0.05041332
552.5058,0.04050291,0.003094018,0.06685244,0.06622043,0.03010605,0.04568346,0.03211726,0.02326518,0.03962396,0.04585512,0.03467645,0.0006121844,0.02120179,0.005201045,0.003895685,0.02398166,0.02089292,0.04648193,0.04316308,0.09150555,0.006271131,0.08040906,0.001260512,0.003719792,0.04086702,0.02587814,0.04286669,0.05466206
552.9879,0.04301769,0.0006581321,0.06513999,0.05959104,0.03141955,0.04827938,0.03023059,0.0256528,0.03911901,0.04125931,0.0310662,0.001816422,0.0193713,0.008876793,0.008354515,0.01768777,0.0235266,0.04857426,0.04626342,0.09067459,0.002456117,0.07701237,0.006691612,0.001918912,0.03981302,0.0234896,0.04773077,0.06237105
553.47,0.04168557,0.0004212186,0.06054775,0.05775498,0.03144906,0.05002061,0.02965356,0.02926059,0.0388822,0.03803853,0.02887691,0.003027346,0.01893679,0.01312828,0.01262681,0.01066824,0.02601762,0.05124982,0.05031376,0.08952294,0.0001351088,0.07551685,0.01540892,0.0007965118,0.04119842,0.0221821,0.05119031,0.0684253
553.9521,0.03823789,0.0003482252,0.05582239,0.05447249,0.0304508,0.04940359,0.02998285,0.03346416,0.04134481,0.03643731,0.02835017,0.006774716,0.01945337,0.01993292,0.01854713,0.007005654,0.02807041,0.05308938,0.05718493,0.08722703,0.0,0.0750844,0.02576466,0.001697794,0.0452222,0.02211286,0.05324627,0.07352491
554.4343,0.03295886,0.0001818314,0.05090333,0.05281771,0.02955533,0.04721738,0.03081389,0.03760334,0.04502674,0.0365703,0.0293629,0.01163576,0.02072511,0.02757656,0.02374429,0.00646355,0.02963192,0.05434938,0.0648656,0.08358365,0.001007602,0.07547648,0.03595065,0.005248755,0.05164081,0.02248046,0.05404661,0.07680152
554.9164,0.0271061,0.0,0.04633355,0.05404069,0.02957384,0.04425015,0.03178766,0.04108892,0.04860002,0.03790325,0.03154365,0.01645512,0.02226408,0.03454546,0.02681729,0.008402791,0.0308992,0.05512904,0.07151762,0.07875161,0.002118848,0.07622851,0.04447598,0.01155216,0.05981938,0.02252658,0.05370018,0.07812482
555.3985,0.02273471,6.369501e-05,0.04337627,0.05648784,0.03061374,0.04079528,0.03260707,0.04342495,0.05166138,0.03964244,0.03438594,0.02093348,0.02346318,0.04003356,0.02809044,0.01235266,0.03223676,0.05527977,0.07639422,0.07325303,0.002798229,0.07678094,0.0503966,0.0201095,0.06884578,0.02192039,0.0522128,0.07825613
