absorbance_2.9_1A,2.9_1A,2.9_2A,2.9_3A,2.9_4A
683.1594,0.04405436,0.02633204,0.05922304,0.08567873
683.6415,0.04412684,0.02636545,0.06065312,0.08648963
684.1237,0.04390842,0.0263746,0.0620043,0.08736097
684.6058,0.04343674,0.02641342,0.06312926,0.08819746
685.0879,0.04279666,0.0265532,0.06398192,0.08891127
685.57,0.04210369,0.02684567,0.06461909,0.08943406
686.0521,0.04147875,0.02729103,0.06517223,0.08974512
686.5342,0.04102822,0.02783949,0.06577395,0.08988224
687.0164,0.04085187,0.0284075,0.06651039,0.08994075
687.4985,0.04102924,0.02891605,0.06736875,0.09004496
687.9806,0.04160193,0.02932662,0.06824628,0.0902971
688.4627,0.04255557,0.02965532,0.06897987,0.09074331
688.9448,0.04380117,0.02996964,0.06942337,0.09133825
689.4269,0.04518744,0.03035803,0.06951512,0.09196246
689.9091,0.04651135,0.03090386,0.06930402,0.0924478
690.3912,0.04757554,0.03164979,0.06894438,0.09264639
690.8733,0.04823911,0.03258557,0.06863624,0.09248119
691.3554,0.04844507,0.03364275,0.06858254,0.09196844
691.8375,0.04824989,0.03470426,0.06890872,0.09122241
692.3196,0.04780489,0.03562824,0.06962978,0.09041885
692.8018,0.04732852,0.03626116,0.07064468,0.08976275
693.2839,0.04702612,0.03648778,0.07177013,0.08941888
693.766,0.04703214,0.03626208,0.07279722,0.08947565
694.2481,0.04737359,0.03563578,0.07353954,0.08992827
694.7302,0.0479589,0.03476159,0.07390019,0.0906808
695.2123,0.04861093,0.0338739,0.07388823,0.09157424
695.6945,0.04911271,0.03324792,0.07361631,0.0924157
696.1766,0.04929553,0.03310247,0.0732514,0.09304419
696.6587,0.04908329,0.03355043,0.07296158,0.09335823
697.1408,0.04852911,0.03455481,0.07285869,0.09334527
697.6229,0.04779626,0.03594831,0.07295583,0.09308009
698.105,0.04712167,0.03747955,0.07317331,0.09270498
698.5872,0.046751,0.03888696,0.07337184,0.09239063
699.0693,0.04685476,0.03998856,0.07342295,0.09227642
699.5514,0.04750209,0.04070532,0.07325631,0.09244359
700.0335,0.04863806,0.04107169,0.07290203,0.09288802
700.5156,0.05012017,0.04119274,0.07247742,0.09353219
700.9977,0.05175409,0.04120076,0.0721553,0.09425047
701.4799,0.05335572,0.0412038,0.07209758,0.09491393
701.962,0.05480456,0.04125851,0.07239152,0.09543713
702.4441,0.05604957,0.04138263,0.07302858,0.09578945
702.9262,0.0571155,0.04157186,0.07390172,0.09600131
703.4083,0.05807044,0.04182445,0.07485504,0.09613918
703.8904,0.05899654,0.04215419,0.07572388,0.09627923
704.3726,0.05995166,0.04258627,0.07639977,0.09647131
704.8547,0.06095094,0.04314261,0.07685749,0.09672467
705.3368,0.06196978,0.04383015,0.07714729,0.09701413
705.8189,0.06295952,0.04463523,0.07736693,0.09730347
706.301,0.06387313,0.04553378,0.07761742,0.09757529
706.7831,0.0646764,0.04650331,0.0779858,0.09785118
707.2653,0.06535679,0.04753416,0.0785253,0.09819533
707.7474,0.06591567,0.04862798,0.07926465,0.09869426
708.2295,0.0663537,0.04978557,0.08022101,0.09943368
708.7116,0.06666217,0.05099022,0.08140443,0.1004598
709.1937,0.06682332,0.05219806,0.08281118,0.101763
709.6758,0.06682338,0.05333692,0.08440659,0.103275
710.158,0.0666751,0.05433188,0.08611595,0.1048904
710.6401,0.0664376,0.05513009,0.087823,0.1064949
711.1222,0.06622802,0.0557283,0.08938473,0.1079916
711.6043,0.06619698,0.05618279,0.09068096,0.1093322
712.0864,0.06650281,0.05660241,0.09164467,0.1105196
712.5685,0.0672704,0.05712449,0.09228534,0.1115997
713.0507,0.06854603,0.05786927,0.09267979,0.1126326
713.5328,0.07028402,0.05892165,0.09294447,0.1136727
714.0149,0.07234523,0.06031151,0.09319398,0.1147468
714.497,0.07454157,0.06201116,0.09349936,0.1158473
714.9791,0.07666245,0.06394508,0.0938829,0.1169372
715.4612,0.07852566,0.06600545,0.09432602,0.1179633
715.9434,0.08002315,0.06808301,0.09479994,0.1188757
716.4255,0.08111867,0.07007703,0.09529468,0.1196352
716.9076,0.08184784,0.07191853,0.09583722,0.1202238
717.3897,0.0822881,0.07358088,0.09648269,0.1206484
717.8718,0.08254173,0.07507651,0.09730029,0.1209453
718.3539,0.08271141,0.07644735,0.09834086,0.1211837
718.8361,0.0828821,0.07774076,0.09961925,0.1214573
719.3182,0.08312648,0.07897762,0.1010998,0.1218808
719.8003,0.08349302,0.08012044,0.1027035,0.1225553
720.2824,0.08400172,0.08106703,0.1043307,0.1235289
720.7645,0.08464144,0.08165129,0.1058615,0.1247656
721.2466,0.08536521,0.0817043,0.1071804,0.1261305
721.7288,0.08609836,0.08111963,0.1081834,0.1274188
722.2109,0.08674053,0.07990527,0.1087804,0.128387
722.693,0.08719195,0.0781998,0.1089049,0.1288365
723.1751,0.08737411,0.07622696,0.108525,0.1286671
723.6572,0.0872406,0.07424603,0.107656,0.1278958
724.1393,0.08679141,0.07244939,0.1063692,0.1266454
724.6215,0.0860678,0.07091936,0.104787,0.125091
725.1036,0.0851444,0.06962185,0.1030721,0.1234114
725.5857,0.08410486,0.06844684,0.1013835,0.1217239
726.0678,0.08302357,0.06727219,0.09984471,0.1200735
726.5499,0.08194869,0.06602126,0.09851772,0.1184491
727.032,0.08088467,0.06470062,0.09738801,0.116825
727.5142,0.07979416,0.0633914,0.09638024,0.1152033
727.9963,0.07860652,0.0622142,0.09538599,0.1136412
728.4784,0.07724714,0.06126759,0.09431182,0.112233
728.9605,0.07565893,0.06059415,0.09310447,0.1110779
729.4426,0.07382751,0.0601587,0.09176906,0.1102234
729.9247,0.07178983,0.05986655,0.09036059,0.1096275
730.4069,0.06962943,0.05959106,0.08896205,0.1091499
730.889,0.06745493,0.05921648,0.08764949,0.1085881
731.3711,0.06536427,0.05867661,0.08645975,0.1077607
731.8532,0.06343491,0.05795664,0.08538276,0.1065607
732.3353,0.0617147,0.05709023,0.08436824,0.105012
732.8174,0.06022923,0.05613465,0.08335947,0.1032531
733.2996,0.05900231,0.05515318,0.08231767,0.1015012
733.7817,0.05806205,0.05419336,0.08125097,0.09996851
734.2638,0.05743255,0.05327401,0.08021356,0.09878084
734.7459,0.0571129,0.05238154,0.07929649,0.09795344
735.228,0.05704623,0.05147125,0.07859314,0.09738921
735.7101,0.05711431,0.05048348,0.07816269,0.09693825
736.1923,0.05713124,0.04935539,0.07801318,0.0964482
736.6744,0.05689238,0.0480523,0.0780893,0.09582844
737.1565,0.05623487,0.04658587,0.07828709,0.09506724
737.6386,0.05507748,0.04502564,0.07846664,0.09421614
738.1207,0.05346763,0.04348758,0.07849246,0.09335166
738.6028,0.05156777,0.04210052,0.07826312,0.09253412
739.085,0.04963031,0.04097978,0.07772548,0.09178958
739.5671,0.04790943,0.04018043,0.07688987,0.09110621
740.0492,0.04659433,0.03968672,0.07581973,0.09045895
740.5313,0.04576829,0.03941638,0.07462053,0.08983523
741.0134,0.04538576,0.03925649,0.07340752,0.08925064
741.4955,0.04530568,0.03909666,0.07228693,0.08874459
741.9777,0.04533864,0.03885492,0.07133821,0.08836024
742.4598,0.04532477,0.0384947,0.07059496,0.08811337
742.9419,0.04516887,0.03801093,0.07004687,0.08797753
743.424,0.04485754,0.03741153,0.06964601,0.0878821
743.9061,0.0444428,0.0367046,0.06932938,0.08774256
744.3882,0.04400865,0.03589988,0.0690356,0.08748659
744.8704,0.04363511,0.0350266,0.06872515,0.08708555
745.3525,0.04336794,0.03414677,0.06839179,0.08656601
745.8346,0.04321776,0.03336433,0.06805856,0.08599991
746.3167,0.04316532,0.03280235,0.06776236,0.08547843
