absorbance_5.10_3A,5.10_3A,5.10_4A,5.9_1A_16,5.9_2A,5.9_2AA,5.9_3A,5.9_4A
613.7346,0.09095491,0.04034481,0.03129181,0.054648,0.01711934,0.05754984,0.01569001
614.2167,0.09142493,0.04115583,0.02817965,0.05531092,0.01543849,0.05818956,0.01805299
614.6989,0.09086441,0.04178736,0.02500167,0.05552822,0.01370689,0.05862682,0.02058036
615.181,0.08920537,0.04221489,0.02222437,0.055351,0.01222547,0.05892578,0.02290133
615.6631,0.08655909,0.04238549,0.02016417,0.05489882,0.01129398,0.05923233,0.0247167
616.1452,0.08325429,0.04222424,0.0189283,0.05432675,0.01109892,0.05972502,0.02588668
616.6273,0.07980674,0.04166076,0.01845625,0.05378509,0.01167172,0.06054993,0.02642494
617.1094,0.07686129,0.04065952,0.01856649,0.05338681,0.01287712,0.06176094,0.02645807
617.5916,0.07499141,0.03925725,0.01902298,0.05317887,0.01447025,0.06327277,0.02614751
618.0737,0.07457596,0.03756969,0.01958548,0.05315314,0.01617714,0.06487611,0.0256291
618.5558,0.07571112,0.03578493,0.02003517,0.05327085,0.01777048,0.06627738,0.02498246
619.0379,0.078191,0.03410308,0.02022486,0.05349671,0.01914264,0.06719629,0.02422548
619.52,0.08157608,0.03269529,0.0200913,0.05381531,0.02029791,0.06740478,0.02334639
620.0021,0.08527732,0.03165501,0.01968017,0.0542253,0.02131376,0.0667633,0.02233403
620.4843,0.08871625,0.03096966,0.01914876,0.05471167,0.02227163,0.06524102,0.02119543
620.9664,0.09137511,0.03053601,0.01875013,0.05521835,0.02320649,0.06290718,0.0199567
621.4485,0.09287822,0.03020657,0.01877674,0.05562583,0.02407562,0.05993446,0.01864904
621.9306,0.09306549,0.02986783,0.01944407,0.05577578,0.02477904,0.0565709,0.01729199
622.4127,0.09198424,0.02949128,0.02082818,0.05548626,0.02518968,0.05315256,0.0158987
622.8948,0.08989455,0.0291721,0.02279526,0.05460661,0.02520982,0.05007713,0.01449436
623.377,0.08719766,0.02909554,0.02503184,0.05307582,0.02481518,0.04772471,0.0131401
623.8591,0.08440407,0.02949665,0.02708941,0.05095837,0.02407053,0.0464329,0.01196438
624.3412,0.0820245,0.03056195,0.02851491,0.04847132,0.02312152,0.04639325,0.01115679
624.8233,0.08043299,0.03234359,0.02900591,0.04594802,0.02214235,0.04758755,0.01090963
625.3054,0.07982445,0.03472141,0.02847402,0.04382167,0.0212961,0.04976428,0.01137214
625.7875,0.08015119,0.03741436,0.02709888,0.04251844,0.02066861,0.0524851,0.01256306
626.2697,0.08117857,0.04007319,0.02524408,0.04233504,0.0202444,0.05526609,0.01434675
