absorbance_3.9_0,3.9_0,3.9_1,3.9_2A,3.9_3A,3.9_4,3.9_5
634.4656,0.01343853,0.02059513,0.05767395,0.04998415,0.02022944,0.03816712
634.9478,0.01384285,0.02239589,0.05843818,0.04833921,0.01937601,0.03971296
635.4299,0.01393662,0.02399234,0.05849162,0.04616779,0.01832608,0.04046692
635.912,0.01376147,0.02529303,0.0577291,0.04386611,0.01699881,0.04045784
636.3941,0.01340272,0.02626472,0.05621575,0.041792,0.01536838,0.0399515
636.8762,0.01296157,0.02690498,0.05419266,0.04018495,0.013508,0.03936648
637.3583,0.01251747,0.02720705,0.05200663,0.03912922,0.011583,0.03909674
637.8405,0.0121209,0.02713711,0.05007415,0.03859797,0.009834558,0.0394169
638.3226,0.01178765,0.0266432,0.04879655,0.03851081,0.008519474,0.04037531
638.8047,0.0115085,0.02569452,0.04845788,0.03880449,0.007829349,0.0417906
639.2868,0.01126438,0.02432595,0.0492002,0.03946161,0.007861597,0.04329371
639.7689,0.01103743,0.02267775,0.05097055,0.0405011,0.008583514,0.0444467
640.251,0.01081657,0.0209766,0.05354669,0.04192701,0.009857394,0.04491033
640.7332,0.01059631,0.01951488,0.05655967,0.0436684,0.01147206,0.04451803
641.2153,0.01037398,0.0185648,0.05958322,0.04554348,0.01320508,0.0433537
641.6974,0.01014943,0.01829705,0.06224577,0.04729093,0.01488571,0.04169915
642.1795,0.00992908,0.01875753,0.06426249,0.04860203,0.01640207,0.03997055
642.6616,0.009728584,0.01985401,0.06551086,0.04922766,0.01772283,0.03857542
643.1437,0.009573364,0.02140701,0.06602861,0.04905898,0.01887975,0.03778829
643.6259,0.009495915,0.02318921,0.06598196,0.04815176,0.01994342,0.03771079
644.108,0.00952249,0.0249974,0.06559878,0.04670685,0.02098881,0.03824141
644.5901,0.009660902,0.02669294,0.06508221,0.04497742,0.02206259,0.03914633
645.0722,0.009891571,0.02819255,0.06456519,0.04319395,0.02316078,0.04012614
645.5543,0.01016869,0.0294611,0.06406474,0.04147327,0.02421452,0.0409331
646.0364,0.01043171,0.03047681,0.06350505,0.03981187,0.02510273,0.04142841
646.5186,0.01061652,0.03120513,0.06276101,0.03813187,0.02566592,0.04158261
647.0007,0.01067653,0.03159893,0.06173371,0.03636114,0.02576073,0.04144949
647.4828,0.01059194,0.03161391,0.06040231,0.03450766,0.02530557,0.0411071
647.9649,0.01037395,0.03123481,0.05885211,0.03270458,0.02432234,0.04061781
648.447,0.01005963,0.03050178,0.05725342,0.03118456,0.02295098,0.04000783
648.9291,0.009702555,0.02951745,0.05581679,0.03021848,0.0214313,0.03929238
649.4113,0.009363686,0.02844007,0.05473709,0.03003635,0.02006024,0.03851875
649.8934,0.009093396,0.02744,0.05412322,0.03072844,0.01909254,0.03778742
650.3755,0.008924632,0.02667253,0.05398181,0.03221905,0.0186911,0.03725124
650.8576,0.008866492,0.02624963,0.05421275,0.03427191,0.01887955,0.03707046
651.3397,0.008901545,0.02621062,0.0546511,0.03658029,0.0195414,0.03733497
651.8218,0.008990272,0.02652573,0.05509786,0.03882961,0.0204525,0.03801518
652.304,0.009081232,0.02709931,0.05536452,0.04077987,0.02134091,0.03893874
652.7861,0.009130844,0.02780406,0.05532662,0.04232281,0.02198251,0.03985485
653.2682,0.009115906,0.02850135,0.05493742,0.04346976,0.02224175,0.04049685
653.7503,0.009047181,0.02907734,0.05425389,0.04432747,0.02211416,0.04068704
654.2324,0.008963378,0.02947114,0.05342634,0.04503358,0.02171201,0.04040316
654.7145,0.008921511,0.02967245,0.05269473,0.045713,0.02123567,0.03978312
655.1967,0.008972393,0.02971159,0.05233891,0.04642789,0.02091057,0.03908233
655.6788,0.009136615,0.02963122,0.05259183,0.0471632,0.02090842,0.038565
656.1609,0.009397076,0.02946162,0.05358963,0.04784491,0.02132341,0.03844274
656.643,0.00970313,0.02920722,0.05529325,0.04838733,0.0221351,0.03879957
657.1251,0.009995836,0.0288526,0.05749372,0.0487454,0.02323427,0.03958972
657.6072,0.01022864,0.02839134,0.05983314,0.04894598,0.02444986,0.0406747
658.0894,0.01038974,0.02785902,0.061911,0.0490905,0.02560977,0.04188222
658.5715,0.01050084,0.02734606,0.06341163,0.04931064,0.02659269,0.04306401
659.0536,0.01060326,0.02699713,0.06416375,0.04972255,0.02734484,0.04410271
659.5357,0.01073021,0.02695571,0.0642048,0.05035674,0.02788856,0.04492392
660.0178,0.01088482,0.02730023,0.06373388,0.05113767,0.02829013,0.0454802
660.4999,0.01103563,0.02800013,0.06304092,0.05189259,0.0286256,0.04573748
660.9821,0.01113384,0.02890263,0.06237885,0.05242414,0.02893829,0.04567957
661.4642,0.01114077,0.02978146,0.0618876,0.0525883,0.02922465,0.04532377
661.9463,0.01105444,0.0303933,0.06157795,0.05234554,0.02944203,0.04474058
662.4284,0.0109195,0.030584,0.06135708,0.05178211,0.02954003,0.04405152
662.9105,0.01081025,0.03033868,0.06109974,0.05106299,0.02949481,0.04340327
663.3926,0.01080367,0.02979188,0.06070401,0.05036775,0.0293308,0.04293256
663.8748,0.01093596,0.02916397,0.06013073,0.04979574,0.0291213,0.04270389
664.3569,0.01119142,0.02868032,0.05938634,0.0493407,0.02896043,0.04269822
664.839,0.0115133,0.0285026,0.05848641,0.04891845,0.02892164,0.04282988
665.3211,0.01183857,0.02868144,0.05741449,0.04843437,0.02901996,0.04300098
665.8032,0.01212894,0.02916515,0.05611261,0.04786346,0.02918483,0.04314803
666.2853,0.01238303,0.02981463,0.05450996,0.04729828,0.02927114,0.04326383
666.7675,0.01264291,0.03045364,0.05259455,0.04695468,0.029104,0.04341463
667.2496,0.01293895,0.03091538,0.05054723,0.04705161,0.02861178,0.04366507
667.7317,0.01324247,0.0311409,0.04882632,0.04760612,0.02795975,0.04399375
668.2138,0.0134579,0.0312359,0.04797723,0.0483158,0.02746162,0.04420961
668.6959,0.01351919,0.03140909,0.04824541,0.04872214,0.02732811,0.04410461
669.178,0.01352079,0.03178889,0.04933899,0.04864079,0.02745264,0.04379775
669.6602,0.01363154,0.032337,0.05070233,0.04822472,0.02758784,0.04365613
670.1423,0.01393494,0.03291878,0.05184809,0.04770126,0.02753231,0.04391433
670.6244,0.01438629,0.03338739,0.05253607,0.04722042,0.02720928,0.04452877
671.1065,0.01489511,0.03363534,0.05276765,0.04687473,0.02663074,0.04534518
671.5886,0.01538503,0.03358765,0.05271134,0.04677419,0.02582461,0.04622027
672.0707,0.0158114,0.03322072,0.05265178,0.047006,0.02485458,0.04707378
672.5529,0.01616525,0.03256704,0.05288649,0.0475933,0.0238168,0.04788913
673.035,0.01646001,0.03172107,0.05366277,0.04846021,0.02286076,0.04867714
673.5171,0.01673616,0.03082317,0.05506327,0.04945449,0.02214873,0.04946429
673.9992,0.01704951,0.03002525,0.05698364,0.0504176,0.02180655,0.05026786
674.4813,0.01745908,0.02947532,0.05916151,0.05123146,0.02190538,0.05108345
