absorbance_2.2_1,2.2_1,2.2_2,2.2_3,2.2_4,6.10_1 (1),6.10_2,6.10_3,6.10_4
628.6802,0.07865495,0.01860872,0.06061571,0.02240807,0.07429157,0.01135257,0.005639064,0.0586571
629.1624,0.07902912,0.01820789,0.06140455,0.02322673,0.07430933,0.01068528,0.005349973,0.0582909
629.6445,0.07967697,0.0173684,0.06168199,0.02375177,0.07455663,0.01037343,0.004901111,0.05824715
630.1266,0.08068244,0.01605614,0.0614759,0.02396945,0.07501619,0.01050259,0.00462777,0.05833822
630.6087,0.08211984,0.01431289,0.0608752,0.02390022,0.07563417,0.01104705,0.004844331,0.05831066
631.0908,0.08400883,0.01228107,0.05999175,0.02359001,0.07632188,0.01189138,0.005728485,0.05792964
631.5729,0.08627257,0.01019319,0.05891509,0.02309484,0.0769714,0.01288892,0.00722436,0.05709848
632.0551,0.08872562,0.008342193,0.05770542,0.02247047,0.07746676,0.01391763,0.009076592,0.055896
632.5372,0.09107053,0.007050646,0.0564073,0.0217729,0.07769266,0.01490927,0.01091263,0.05457289
633.0193,0.09296961,0.006573181,0.0550615,0.02105255,0.077569,0.01585534,0.01241209,0.05345288
633.5014,0.09410431,0.007046245,0.05372266,0.0203539,0.07706963,0.01677424,0.01340502,0.05283099
633.9835,0.09425063,0.008439369,0.05245355,0.01971628,0.07624876,0.01767601,0.01391737,0.05287755
634.4656,0.09336889,0.01055651,0.05130059,0.01916658,0.07523885,0.01853962,0.01412483,0.05356781
634.9478,0.09162411,0.01307487,0.05027618,0.01871604,0.07423253,0.0193182,0.01425349,0.05469759
635.4299,0.08937398,0.01561525,0.04934789,0.01836072,0.07344031,0.01996455,0.01447102,0.05594773
635.912,0.08704843,0.01785994,0.04845437,0.01808416,0.07301122,0.02046223,0.01481202,0.05702049
636.3941,0.08507038,0.01958848,0.04753483,0.01786099,0.072992,0.02083601,0.01519256,0.05771243
636.8762,0.0837497,0.0206999,0.04656396,0.0176619,0.07329523,0.02114093,0.01546905,0.05797664
637.3583,0.08320712,0.02119241,0.04557146,0.01746196,0.07373443,0.02142899,0.01553397,0.05791231
637.8405,0.08339003,0.0211107,0.04464068,0.01724026,0.07406834,0.02172528,0.01535944,0.05771282
638.3226,0.0841032,0.02051061,0.0438861,0.01698806,0.07409111,0.02201657,0.01501263,0.05758903
638.8047,0.08509879,0.01944374,0.04340792,0.01671699,0.07371696,0.02226657,0.01460895,0.05768594
639.2868,0.08612629,0.01798009,0.04327539,0.01646751,0.07300627,0.02243774,0.01426397,0.05805301
639.7689,0.08700212,0.01624028,0.04350681,0.01631775,0.07216053,0.02251679,0.01404349,0.05862917
640.251,0.08764338,0.01440318,0.04407687,0.01637144,0.07143871,0.02251813,0.01394746,0.05928366
640.7332,0.08804452,0.01271789,0.04493713,0.01675452,0.07109594,0.02246579,0.01393441,0.05985609
