absorbance_2.2_1,2.2_1,2.2_2,2.2_3,2.2_4
659.5357,0.09085771,0.01519362,0.05592367,0.02732941
660.0178,0.09007657,0.01469855,0.05552433,0.02819832
660.4999,0.08925666,0.01415674,0.0552018,0.02917391
660.9821,0.08847584,0.01365212,0.05499507,0.03016068
661.4642,0.08787087,0.01322972,0.05494895,0.03100589
661.9463,0.08760967,0.01291652,0.05510661,0.03153294
662.4284,0.08781151,0.01273711,0.05549121,0.03162425
662.9105,0.08849215,0.01272006,0.05609527,0.03127355
663.3926,0.08953533,0.01289031,0.0568718,0.03060723
663.8748,0.09072826,0.01324853,0.05774411,0.02983916
664.3569,0.09182523,0.01376373,0.05862381,0.02919949
664.839,0.09261191,0.01437628,0.05942579,0.02887236
665.3211,0.09298488,0.01501691,0.06009315,0.02894092
665.8032,0.09296577,0.01561858,0.06059929,0.02938923
666.2853,0.0927154,0.01611275,0.0609481,0.03010462
666.7675,0.09251004,0.01643156,0.06117452,0.03091718
667.2496,0.0926729,0.01648518,0.06133524,0.03163512
667.7317,0.09338902,0.01620421,0.06150019,0.03213581
668.2138,0.09443578,0.01566984,0.06174226,0.03240884
668.6959,0.09528405,0.0151504,0.06211683,0.0325588
669.178,0.09566069,0.01491144,0.06261572,0.0327423
669.6602,0.09577157,0.01500915,0.06315905,0.03307454
670.1423,0.09591256,0.01537441,0.06364974,0.03355504
670.6244,0.09620906,0.01591658,0.06400971,0.03407797
671.1065,0.09666511,0.01656419,0.06418979,0.03452319
671.5886,0.09723431,0.01727197,0.06416338,0.03478136
672.0707,0.09785716,0.01799446,0.06392046,0.03479604
672.5529,0.09847209,0.01868064,0.06346527,0.03456922
673.035,0.09900396,0.01926848,0.06281479,0.03414738
673.5171,0.09939227,0.01971076,0.0620022,0.03359632
673.9992,0.0996087,0.01999783,0.06107814,0.03296417
674.4813,0.09966817,0.02016449,0.06012104,0.03227303
674.9634,0.09961873,0.02028308,0.05923589,0.03152114
675.4456,0.09951794,0.02043177,0.05854531,0.03071505
675.9277,0.09941735,0.02066893,0.05818681,0.02990633
676.4098,0.09934299,0.02100079,0.05827183,0.02920292
676.8919,0.09929648,0.02137784,0.05885229,0.02875021
677.374,0.09926885,0.02170508,0.05989727,0.02869978
677.8561,0.0992561,0.02188107,0.06128963,0.02914597
678.3383,0.09927132,0.0218336,0.06285252,0.03009536
678.8204,0.09934841,0.02154321,0.06437464,0.03145687
679.3025,0.09952837,0.02105547,0.06567581,0.03306948
679.7846,0.09984311,0.02047133,0.06663546,0.03474144
680.2667,0.1002985,0.01993123,0.06721981,0.03628917
680.7488,0.1008663,0.01957176,0.0674892,0.03759315
681.231,0.1014889,0.01950296,0.06757816,0.03860586
681.7131,0.1020921,0.01978726,0.06766285,0.03934579
682.1952,0.1026117,0.02042532,0.06789906,0.03986645
682.6773,0.1030023,0.02136411,0.06839605,0.04022587
683.1594,0.1032496,0.02250931,0.06918547,0.04046503
683.6415,0.1033695,0.02375765,0.07021404,0.04060129
684.1237,0.1034032,0.02501429,0.07135232,0.04064149
684.6058,0.1034068,0.02622126,0.07242228,0.04059762
685.0879,0.1034321,0.02737036,0.07325331,0.04049507
685.57,0.1035221,0.02849149,0.07370506,0.04037612
686.0521,0.1037003,0.02962787,0.07370597,0.04029082
686.5342,0.1039705,0.03079974,0.07326522,0.04028085
687.0164,0.1043224,0.03197841,0.07247104,0.04037808
687.4985,0.1047382,0.03307701,0.07147937,0.0405992
687.9806,0.1052022,0.03398122,0.07047459,0.04094863
688.4627,0.1057041,0.03457976,0.0696511,0.04142289
688.9448,0.1062402,0.0348215,0.0691553,0.04201107
689.4269,0.106809,0.03473504,0.06904991,0.04269103
689.9091,0.1074044,0.03442327,0.06930618,0.04341827
690.3912,0.1080097,0.03401683,0.06981547,0.04412633
690.8733,0.1085991,0.03362152,0.07043087,0.04473479
691.3554,0.1091396,0.03328996,0.07099438,0.04515981
691.8375,0.1096038,0.03300686,0.07138889,0.04534857
692.3196,0.1099764,0.03271729,0.07156324,0.04530252
692.8018,0.1102574,0.03236778,0.07153825,0.04509027
693.2839,0.1104595,0.03195438,0.07139342,0.04483189
693.766,0.1105982,0.03154141,0.07123213,0.04466131
694.2481,0.1106851,0.0312553,0.07114365,0.04468406
694.7302,0.1107221,0.03123255,0.07115978,0.04492408
695.2123,0.1107049,0.0315707,0.07124415,0.04530792
695.6945,0.1106291,0.03228546,0.07130292,0.04567133
696.1766,0.1104961,0.03329615,0.07123509,0.04582506
696.6587,0.1103128,0.03444882,0.07098228,0.04561345
697.1408,0.1100844,0.03555966,0.0705783,0.04498271
697.6229,0.1098055,0.03648599,0.07015622,0.04401457
698.105,0.1094542,0.03715117,0.06992798,0.04291919
698.5872,0.1089988,0.03755928,0.07012039,0.04198868
699.0693,0.1084176,0.03777115,0.07087477,0.04149086
699.5514,0.1077199,0.03787244,0.07219471,0.04161443
700.0335,0.1069659,0.03793743,0.07390922,0.0423964
