absorbance_2.3_1_oilA,2.3_1_oilA,2.3_2_oilA,2.3_3_oilA
664.3569,0.06642874,0.04711033,0.03446907
664.839,0.06586377,0.04875126,0.0352774
665.3211,0.0656438,0.04999644,0.03566793
665.8032,0.06588157,0.05090819,0.0354385
666.2853,0.06672163,0.0515152,0.03447581
666.7675,0.06830528,0.05177853,0.03281539
667.2496,0.07064682,0.05170653,0.03077293
667.7317,0.07343251,0.05148095,0.02901926
668.2138,0.07600421,0.05145799,0.0283032
668.6959,0.07767923,0.05192449,0.02896837
669.178,0.0782505,0.05275217,0.03067501
669.6602,0.07800995,0.05356557,0.03277604
670.1423,0.0774214,0.05412606,0.03473058
670.6244,0.07685737,0.05444258,0.03625471
671.1065,0.07651785,0.05461687,0.03726126
671.5886,0.07648058,0.05472106,0.03773443
672.0707,0.0767099,0.05477972,0.03769997
672.5529,0.0770869,0.05479103,0.0372159
673.035,0.07742317,0.05476491,0.03639058
673.5171,0.07751738,0.05472445,0.03539445
673.9992,0.07722324,0.05468655,0.03443416
674.4813,0.07649083,0.05463828,0.03374052
674.9634,0.07540515,0.05451998,0.03349625
675.4456,0.07416325,0.05424147,0.03378955
675.9277,0.07304934,0.05370801,0.0345929
676.4098,0.07234029,0.05287575,0.0357636
676.8919,0.07222279,0.05178227,0.03709355
677.374,0.07274002,0.05056256,0.03836087
677.8561,0.07376564,0.04941575,0.03941827
678.3383,0.07505127,0.04855637,0.04022563
678.8204,0.07628822,0.04817568,0.04084533
679.3025,0.07722708,0.04838026,0.04139218
679.7846,0.07774103,0.04917219,0.04196848
680.2667,0.07786277,0.05043522,0.04261054
680.7488,0.07775913,0.05196061,0.04326658
681.231,0.07766328,0.05347569,0.04382104
681.7131,0.07778285,0.05469188,0.04414583
682.1952,0.0782112,0.05538794,0.04416726
682.6773,0.0789122,0.05543591,0.04389255
683.1594,0.07973944,0.05484502,0.04341856
683.6415,0.08051824,0.05375669,0.0428905
684.1237,0.08110657,0.05242857,0.04246611
684.6058,0.08145843,0.05117328,0.04226549
685.0879,0.08163084,0.0502549,0.0423368
685.57,0.08175286,0.04984601,0.0426615
686.0521,0.08196536,0.04997319,0.04316989
686.5342,0.08235753,0.05053048,0.04377651
687.0164,0.08294669,0.05131188,0.04439217
687.4985,0.08367246,0.05208291,0.04494228
687.9806,0.08443308,0.05266395,0.04537713
688.4627,0.08511855,0.05296486,0.04566999
688.9448,0.08565515,0.05302075,0.0458273
689.4269,0.08602217,0.052962,0.04588744
689.9091,0.08624025,0.05297705,0.04591884
690.3912,0.08635131,0.05324705,0.04600006
690.8733,0.08639444,0.05389454,0.04619419
691.3554,0.08640115,0.05496544,0.0465306
691.8375,0.08639152,0.05640595,0.04698591
692.3196,0.08637924,0.0580765,0.04749196
692.8018,0.08637193,0.0597568,0.04795159
693.2839,0.08636413,0.06120189,0.04828011
693.766,0.08633097,0.06218623,0.04843448
694.2481,0.08622573,0.06254004,0.04842678
694.7302,0.0859964,0.06221125,0.04831923
695.2123,0.08560975,0.06128436,0.04820008
695.6945,0.08508088,0.05998813,0.04815534
696.1766,0.08448994,0.05863197,0.04823466
696.6587,0.08397835,0.05754789,0.04844366
697.1408,0.08372511,0.05700796,0.04874685
697.6229,0.0838827,0.0571393,0.04909048
698.105,0.08454524,0.05791396,0.04942451
698.5872,0.08571121,0.05916157,0.04972134
699.0693,0.08728632,0.06064594,0.04998374
699.5514,0.0890999,0.06211966,0.05024059
700.0335,0.09094653,0.06339755,0.05053472
700.5156,0.09264757,0.06440181,0.0509051
700.9977,0.09406354,0.06515174,0.05137904
