absorbance_1.1_1A,1.1_1A,1.1_2A,1.1_3A,1.1_4A,1.3_1,1.3_1A,1.3_2,1.3_2A,1.3_3,1.3_3A,1.3_4,1.3_4A,1.3_5,3.11_1,3.11_2,3.11_3,3.11_4,3.11_5,3.11_6,3.11_7,3.3_1A,3.3_2A,3.3_3A,3.3_4A,3.3_5A,6.6_1A (2),6.6_1A,6.6_2A (2),6.6_2A,6.6_3A (2),6.6_3A,6.6_4A (2),6.6_4A,6.6_5A,6.7_1A,6.7_2A,6.7_3A,6.7_4A,6.7_5A
546.2383,0.06814217,0.1124398,0.05595654,0.04959006,0.05563732,0.001107693,0.02236702,0.02482715,0.03099658,0.03061065,0.04691517,0.04087757,0.06379749,0.0001975559,0.0502647,0.03493961,0.0234909,0.05879931,0.05217653,0.0007808618,0.01312446,0.05880219,0.03539961,0.0005643666,0.07810991,0.08512215,0.0441418,0.04104644,0.06431568,0.05928073,0.07306774,0.04698168,0.02594451,0.03655962,0.02785579,0.0667613,0.00026232,0.02938568,0.08423227
546.7204,0.0749897,0.1137905,0.0549311,0.05292667,0.05707315,0.0001602173,0.01939424,0.03159144,0.03474241,0.02271882,0.05633854,0.05003222,0.05911557,0.0,0.05223689,0.03484091,0.02404306,0.06469141,0.05829033,0.003856733,0.0141575,0.05401797,0.03397862,0.0,0.07430962,0.08444835,0.03975367,0.03303348,0.05956333,0.05895215,0.07062589,0.04685244,0.02386558,0.03735511,0.02751367,0.06697538,0.0,0.02804389,0.08320708
547.2025,0.07971442,0.1132661,0.05100124,0.0542307,0.06092328,0.0,0.01819582,0.03807356,0.03985817,0.01730305,0.06219957,0.05655451,0.05593732,0.001484606,0.05668996,0.03476322,0.02400474,0.06975804,0.06094163,0.008991539,0.01436903,0.05036418,0.03215107,0.001581952,0.06754377,0.08380006,0.03611765,0.02562612,0.05507924,0.05899577,0.06901411,0.04671282,0.02288103,0.03747252,0.02715374,0.06610161,0.00107985,0.02658784,0.07982813
547.6846,0.08267494,0.1114107,0.04503601,0.05348368,0.06572637,0.0004557595,0.01912122,0.04355006,0.04502822,0.01468822,0.06390132,0.06053634,0.05393615,0.003726751,0.06287324,0.03436367,0.02354154,0.07283777,0.05966735,0.01576133,0.01466882,0.04782331,0.03044942,0.00474371,0.05912969,0.08310266,0.03467702,0.01956211,0.05199224,0.05905166,0.06779996,0.0456086,0.02274273,0.03657802,0.02587448,0.06461261,0.00286611,0.0248865,0.07533264
548.1667,0.08414923,0.1085221,0.03801862,0.05137495,0.07038751,0.002033681,0.02173794,0.04742718,0.04905665,0.01451617,0.06148412,0.06149656,0.05230412,0.005747609,0.06967184,0.03336111,0.02267038,0.07311987,0.05510942,0.02358615,0.01635712,0.04656534,0.02939609,0.009155735,0.0507079,0.08226924,0.03624951,0.01560106,0.05113628,0.05825777,0.06721309,0.0430745,0.02389813,0.03445102,0.02364848,0.06314933,0.004799874,0.02268799,0.07096011
548.6489,0.0836426,0.1045051,0.03055523,0.0490508,0.07590937,0.005778901,0.02501427,0.04904564,0.05120526,0.01599057,0.05466665,0.05613086,0.04945374,0.007232413,0.0758151,0.03174128,0.02072194,0.07012297,0.04945125,0.03176464,0.02082635,0.04810839,0.02986414,0.01499778,0.04412494,0.08211236,0.04054134,0.01489931,0.05278411,0.05488122,0.06867693,0.0401345,0.02789279,0.03092698,0.02173693,0.06282785,0.006643757,0.02019265,0.0671725
549.131,0.08266179,0.09903802,0.02402736,0.04758872,0.07855447,0.01142356,0.0278486,0.04945131,0.05127104,0.01736881,0.04704545,0.04988845,0.04592153,0.007330386,0.08017946,0.02986246,0.01932112,0.06489226,0.04337519,0.03954338,0.02786162,0.04990559,0.03140877,0.02190361,0.0386565,0.08125927,0.0467172,0.01573457,0.05686406,0.0506354,0.07090425,0.03533219,0.03425669,0.02663158,0.02088672,0.06210255,0.008899432,0.0158377,0.06556219
549.6131,0.08070882,0.09185299,0.01946553,0.04769607,0.08007263,0.01899241,0.02945065,0.0481069,0.04947495,0.01820092,0.04030914,0.04211168,0.04100905,0.006439097,0.0819017,0.02847613,0.01836259,0.0591047,0.0386726,0.04612201,0.0365193,0.05220359,0.03403202,0.02928758,0.03456332,0.08023909,0.05373258,0.01732071,0.06223571,0.04528139,0.07435634,0.02983528,0.04272772,0.02253453,0.02178429,0.06189891,0.01150947,0.01066123,0.06452756
550.0952,0.07799644,0.08310486,0.01709057,0.04944575,0.0813069,0.02757299,0.02976495,0.04536419,0.04629152,0.01818734,0.03574304,0.03370822,0.03490864,0.005744211,0.08069063,0.02847964,0.0180164,0.05419416,0.03600731,0.05084848,0.04513181,0.05436831,0.03745693,0.03651455,0.03088581,0.07967859,0.06037375,0.018845,0.06789191,0.03945551,0.07839911,0.02406485,0.05212097,0.01935054,0.02457607,0.06189668,0.01487815,0.005616941,0.06297344
550.5773,0.0747336,0.07349731,0.01658079,0.05243489,0.08305794,0.03585067,0.0294399,0.04154243,0.04222223,0.01771086,0.03363365,0.02557726,0.02819109,0.006410412,0.07684898,0.03054161,0.01828171,0.05119086,0.03519889,0.05335694,0.05206593,0.05581781,0.04128946,0.04294523,0.02681461,0.08011494,0.06590246,0.01977681,0.07294722,0.03387912,0.08223879,0.01842179,0.06073664,0.01750068,0.0285839,0.06183252,0.01904438,0.001724765,0.05998587
551.0594,0.07099228,0.06425373,0.01722335,0.05602746,0.08584531,0.04256202,0.02961601,0.03699139,0.0377101,0.01768814,0.03356031,0.01859626,0.02175083,0.009247229,0.07117237,0.03483522,0.01898257,0.05060444,0.03534227,0.0535614,0.05608525,0.05604808,0.04483968,0.04807366,0.0218641,0.08167544,0.07003868,0.01978815,0.07673411,0.02934228,0.08508283,0.0132497,0.06677016,0.01705065,0.03245344,0.06161088,0.02369094,0.0,0.05498344
