absorbance_2.7_1A,2.7_1A,2.7_2A,2.7_3A,2.7_4A
693.766,0.03749794,0.03776617,0.1040413,0.06568569
694.2481,0.03695291,0.03778996,0.1042629,0.06576988
694.7302,0.03646112,0.03804077,0.1045519,0.06557102
695.2123,0.03622172,0.03851662,0.104815,0.06517664
695.6945,0.03633662,0.03921148,0.1049931,0.06471199
696.1766,0.03678098,0.04010816,0.1050932,0.06429237
696.6587,0.03742603,0.04117452,0.1051827,0.06399611
697.1408,0.03807721,0.04236351,0.10536,0.06384279
697.6229,0.03855142,0.04362318,0.1056995,0.06379294
698.105,0.03871632,0.0448973,0.1062225,0.06376939
698.5872,0.0385315,0.04612689,0.1068849,0.0636922
699.0693,0.03805281,0.04725618,0.1076054,0.06352367
699.5514,0.03741248,0.04822969,0.1083009,0.06329004
700.0335,0.03677716,0.04900233,0.1089255,0.06308971
700.5156,0.03628602,0.04955436,0.1094836,0.06305633
700.9977,0.03602797,0.04989964,0.1100112,0.06332999
701.4799,0.03601878,0.05009294,0.1105373,0.06399816
701.962,0.03621489,0.0502142,0.1110499,0.06506029
702.4441,0.0365362,0.05035673,0.1114841,0.06641453
702.9262,0.03690027,0.05059147,0.1117454,0.06787425
703.4083,0.03725049,0.05094142,0.1117634,0.06922885
703.8904,0.03755835,0.05137162,0.1115362,0.07028057
704.3726,0.03782333,0.05180041,0.111163,0.07091233
704.8547,0.03805769,0.0521405,0.1108168,0.07111087
705.3368,0.0382763,0.05233604,0.1107105,0.07095782
705.8189,0.03849346,0.05240564,0.1110135,0.07059736
706.301,0.03872931,0.05244537,0.1117989,0.07019006
706.7831,0.03902141,0.05261518,0.1130289,0.06989849
707.2653,0.03942536,0.05307601,0.1145703,0.06985621
707.7474,0.04000185,0.05392719,0.1162501,0.07016458
708.2295,0.04080029,0.05516379,0.1178962,0.07089889
708.7116,0.041829,0.05665823,0.1193957,0.07209419
709.1937,0.04304395,0.05819528,0.120703,0.07373621
709.6758,0.04434936,0.05951764,0.1218285,0.07574362
710.158,0.04563021,0.06042507,0.1228187,0.07797026
710.6401,0.0467847,0.06082507,0.123734,0.08021728
711.1222,0.04775655,0.06076669,0.1246431,0.08225822
711.6043,0.04855568,0.06041649,0.1256122,0.08391186
712.0864,0.04924927,0.06000854,0.1267062,0.08507666
712.5685,0.04993744,0.05977373,0.1279779,0.08576267
713.0507,0.05070951,0.05985615,0.1294496,0.08608025
713.5328,0.0516221,0.06029712,0.1310994,0.08621302
714.0149,0.05268748,0.06103941,0.1328552,0.08637029
714.497,0.0538856,0.06198112,0.1346192,0.08672303
714.9791,0.05518642,0.06302977,0.1362917,0.08738907
715.4612,0.05657484,0.06415613,0.1378112,0.08841269
715.9434,0.05806322,0.06540844,0.1391778,0.08977329
716.4255,0.05968492,0.0668944,0.1404443,0.09140206
716.9076,0.06147622,0.06872801,0.1416868,0.09320113
717.3897,0.06345326,0.07096791,0.142958,0.0950672
717.8718,0.06559435,0.07357569,0.1442588,0.09688822
718.3539,0.06783329,0.07639603,0.145525,0.09855986
718.8361,0.07006995,0.07919812,0.1466576,0.1000018
719.3182,0.07217333,0.08170122,0.1475543,0.1011633
719.8003,0.07400377,0.08366198,0.148163,0.1020361
720.2824,0.07543227,0.08493464,0.148502,0.1026495
720.7645,0.0763455,0.08548465,0.148651,0.1030544
