absorbance_2.6_1A,2.6_1A,2.6_2A,2.6_3A,2.6_4A
633.5014,0.03095874,0.07655855,0.04915572,0.06257881
633.9835,0.03070099,0.07637234,0.04907023,0.06089245
634.4656,0.03034956,0.07591453,0.04903743,0.05930875
634.9478,0.02986152,0.07524402,0.04905271,0.05800148
635.4299,0.02928349,0.07444288,0.04918652,0.05712994
635.912,0.02871836,0.07359585,0.04954892,0.05681407
636.3941,0.0282764,0.07277745,0.05023888,0.0571238
636.8762,0.02802055,0.07203618,0.05127168,0.0580387
637.3583,0.02794498,0.0713847,0.05254742,0.05943218
637.8405,0.02799168,0.07080577,0.05385574,0.06106272
638.3226,0.02809379,0.0702633,0.05493537,0.06260817
638.8047,0.0282251,0.06972077,0.05558335,0.06376512
639.2868,0.02842299,0.06914701,0.05571609,0.06430054
639.7689,0.0287884,0.06852217,0.05542944,0.06414657
640.251,0.02944265,0.06783324,0.05495841,0.06342018
640.7332,0.03049193,0.06706606,0.05462069,0.06240067
641.2153,0.03197859,0.06620631,0.05468564,0.06143725
641.6974,0.03386635,0.06524837,0.05527072,0.06082202
642.1795,0.03604316,0.06420871,0.05631277,0.060737
642.6616,0.03834271,0.06314042,0.05758331,0.06119515
643.1437,0.04057861,0.06212857,0.05878684,0.06207302
643.6259,0.04254066,0.06128172,0.0596264,0.06315698
644.108,0.04403113,0.06069377,0.05990993,0.06423107
644.5901,0.0448977,0.06040916,0.0595833,0.06515095
645.0722,0.04505242,0.06040834,0.05871572,0.06586786
645.5543,0.04451886,0.0606093,0.05745428,0.06643593
646.0364,0.0434415,0.06090586,0.05596148,0.06696517
646.5186,0.04208963,0.06120086,0.05439467,0.06757233
647.0007,0.04079214,0.06145359,0.05288249,0.06831583
647.4828,0.03986725,0.06168335,0.05153941,0.06916789
647.9649,0.03955571,0.06195028,0.05048656,0.07000396
648.447,0.03992773,0.0623051,0.04983194,0.07064109
648.9291,0.04087369,0.0627496,0.04965052,0.07088656
649.4113,0.04212464,0.06321182,0.04995496,0.07059502
649.8934,0.04336235,0.0635747,0.0506804,0.06973128
650.3755,0.04429676,0.06372328,0.05169757,0.06838706
650.8576,0.0447378,0.06360584,0.0528457,0.06677825
651.3397,0.04463223,0.06327257,0.05399297,0.06517374
651.8218,0.04403513,0.06287181,0.05505561,0.06384578
652.304,0.04306754,0.06260298,0.05600959,0.06299148
652.7861,0.04185764,0.06262234,0.05686662,0.0626714
653.2682,0.0405223,0.06298784,0.05763419,0.06281392
653.7503,0.03916037,0.06361742,0.05828293,0.06324916
654.2324,0.03785836,0.06432614,0.0587483,0.0637999
654.7145,0.03672101,0.06487579,0.05895142,0.06434401
655.1967,0.03586863,0.06506211,0.05884997,0.06487612
655.6788,0.03540967,0.06478684,0.05847483,0.06549621
656.1609,0.03541896,0.06406834,0.05793692,0.06636247
656.643,0.03589791,0.06303318,0.05739436,0.06759189
657.1251,0.03676839,0.0618564,0.0569818,0.06917531
657.6072,0.03788166,0.06073445,0.05676306,0.07093056
658.0894,0.03906041,0.0598426,0.05668866,0.07252198
658.5715,0.04015065,0.059318,0.05662207,0.07357058
659.0536,0.04104007,0.05927788,0.05638635,0.07374063
659.5357,0.0416875,0.05980233,0.05586117,0.07289709
660.0178,0.04210742,0.06091774,0.05504691,0.07115828
660.4999,0.04234641,0.06257516,0.05408424,0.06889181
660.9821,0.0424481,0.06462953,0.05320872,0.06659582
661.4642,0.04242938,0.06685172,0.05266397,0.0647479
661.9463,0.04227564,0.06894201,0.05263492,0.06370914
662.4284,0.04195306,0.07062235,0.05317028,0.06359624
662.9105,0.04143042,0.07170925,0.05418324,0.06428091
663.3926,0.04070086,0.07216761,0.05548471,0.06543732
