absorbance_2.9_1A,2.9_1A,2.9_2,2.9_3A,2.9_4A
627.716,0.01517192,0.04645088,0.04690489,0.01448843
628.1981,0.0152487,0.04517077,0.04521098,0.01571066
628.6802,0.01514017,0.0442496,0.04362966,0.01662232
629.1624,0.01482656,0.04375112,0.04255063,0.01687691
629.6445,0.01438752,0.04373139,0.04228362,0.01625397
630.1266,0.01395937,0.04419659,0.04295465,0.01474271
630.6087,0.01367014,0.04507648,0.04449243,0.01253633
631.0908,0.01359596,0.04621188,0.04664294,0.01001175
631.5729,0.01373434,0.04739871,0.04905115,0.007620562
632.0551,0.01402435,0.04843987,0.05135072,0.005789105
632.5372,0.01438666,0.04918476,0.05322352,0.004845546
633.0193,0.01476643,0.04957525,0.05448688,0.004914298
633.5014,0.01514528,0.04963382,0.05509451,0.00590388
633.9835,0.01552465,0.04943721,0.05511802,0.007522458
634.4656,0.0158919,0.04907113,0.0546944,0.009388888
634.9478,0.01619415,0.0486085,0.05397757,0.01113247
635.4299,0.01634197,0.04811173,0.05310292,0.01250236
635.912,0.01625683,0.0476484,0.05216364,0.01343915
636.3941,0.01591839,0.04731957,0.0512294,0.01404566
636.8762,0.01540969,0.04725793,0.05036319,0.01451032
637.3583,0.01490132,0.04758029,0.04962212,0.01499031
637.8405,0.0146125,0.04834111,0.04905642,0.0155459
638.3226,0.01472434,0.04946781,0.04868234,0.01610712
638.8047,0.01529397,0.0507586,0.04846393,0.01652478
639.2868,0.01622499,0.05189829,0.04830783,0.01663602
639.7689,0.01728824,0.05255747,0.04809077,0.01636085
640.251,0.01822904,0.05252695,0.04772093,0.01575015
640.7332,0.0188486,0.05178382,0.04718293,0.01498333
641.2153,0.01910564,0.05053341,0.04657802,0.01430252
641.6974,0.0191215,0.04912446,0.04609588,0.01390875
642.1795,0.01913995,0.04797508,0.04598055,0.01390886
642.6616,0.0194196,0.04742125,0.04643406,0.0142717
643.1437,0.02012448,0.04762114,0.04753879,0.01486417
643.6259,0.02126719,0.04853172,0.04922225,0.01549834
644.108,0.02268603,0.04992231,0.05125965,0.01601198
644.5901,0.02410893,0.05146889,0.05334974,0.01631423
645.0722,0.02521632,0.05281615,0.05517307,0.01638418
645.5543,0.02575721,0.05368977,0.05650035,0.0162473
646.0364,0.02560501,0.05393907,0.05722666,0.01593231
646.5186,0.02476615,0.05353425,0.05735574,0.01544928
647.0007,0.02336942,0.05256092,0.05696393,0.01479594
647.4828,0.02163012,0.05118832,0.05614913,0.01399121
647.9649,0.01983827,0.04965362,0.05500555,0.01311214
648.447,0.01830168,0.04820297,0.05361092,0.01229463
648.9291,0.0173197,0.04705514,0.05204628,0.01169778
649.4113,0.0171438,0.04636255,0.05042235,0.01144125
649.8934,0.01789793,0.0461643,0.04887305,0.01153222
650.3755,0.01954361,0.04639326,0.04754588,0.01184458
650.8576,0.02184644,0.04689686,0.04656776,0.01214611
651.3397,0.02442821,0.04750712,0.04600096,0.01220231
651.8218,0.02681738,0.04808963,0.04583339,0.01186051
652.304,0.02856113,0.04859268,0.04598743,0.0111322
652.7861,0.02937156,0.0490546,0.04636865,0.01019098
653.2682,0.02916727,0.04957226,0.04691234,0.009320287
653.7503,0.02810362,0.05023868,0.04762738,0.008802274
654.2324,0.02649188,0.05108231,0.04859152,0.008794596
654.7145,0.0247319,0.05203986,0.04992032,0.00928909
655.1967,0.02319124,0.05296502,0.05169386,0.01011027
655.6788,0.02210382,0.05369313,0.05389273,0.01100945
656.1609,0.02156042,0.0540896,0.05636139,0.01174193
656.643,0.0215013,0.05411091,0.05882178,0.01217015
657.1251,0.02177998,0.05381105,0.06095854,0.01229454
657.6072,0.02221327,0.05331618,0.06246862,0.0122253
658.0894,0.02264682,0.0527683,0.06316455,0.01211719
658.5715,0.02299071,0.05226892,0.06302172,0.01208896
659.0536,0.02321545,0.05186425,0.06217992,0.01219126
659.5357,0.02334393,0.05154375,0.0609042,0.01239359
660.0178,0.02342206,0.05127596,0.05949465,0.0126265
660.4999,0.02349724,0.05104366,0.05823272,0.01282651
660.9821,0.02359662,0.05086607,0.05729355,0.01297637
661.4642,0.02372103,0.05078647,0.05673142,0.01310855
661.9463,0.02384895,0.05084767,0.05649861,0.01328292
662.4284,0.0239501,0.05105259,0.05648356,0.01355008
662.9105,0.02400356,0.05135201,0.05655988,0.01392778
663.3926,0.02401355,0.05164969,0.0566186,0.01439898
663.8748,0.02401743,0.05184599,0.05660046,0.01493431
664.3569,0.02407965,0.05187338,0.05649349,0.01551497
664.839,0.02427438,0.05172405,0.05632435,0.01613781
665.3211,0.02465751,0.05145702,0.05614289,0.01680665
665.8032,0.02524492,0.05120035,0.05601338,0.01750081
666.2853,0.02599571,0.05115575,0.05600436,0.01816432
666.7675,0.02680631,0.05157054,0.05616758,0.01870437
667.2496,0.02754043,0.05268146,0.05649667,0.01906745
667.7317,0.02810468,0.05454197,0.05687686,0.0193315
668.2138,0.02854453,0.05685923,0.05708745,0.01973347
668.6959,0.02902782,0.05906905,0.05694534,0.020497
669.178,0.0296596,0.06069974,0.05651512,0.02153281
669.6602,0.03040195,0.06161609,0.05606411,0.02251986
670.1423,0.03118789,0.06191388,0.05584585,0.02322907
670.6244,0.0319736,0.06175345,0.05598824,0.02363658
671.1065,0.03271285,0.06125887,0.05652277,0.023809
671.5886,0.03332431,0.060514,0.0574312,0.02380336
672.0707,0.03371557,0.05958442,0.05864526,0.02365067
672.5529,0.03382698,0.05853858,0.06005227,0.02336813
673.035,0.0336614,0.05747323,0.06148069,0.02298842
673.5171,0.03329602,0.05650095,0.06274012,0.02255831
673.9992,0.03284349,0.05572217,0.06367146,0.02212701
674.4813,0.03241289,0.0552144,0.06416795,0.02173835
674.9634,0.03206012,0.05500571,0.06420358,0.02142385
675.4456,0.03178266,0.05507468,0.0638188,0.02120939
675.9277,0.03154603,0.05535379,0.06310527,0.02112689
676.4098,0.03132788,0.05574564,0.06217504,0.0212125
676.8919,0.03115263,0.05614367,0.06113595,0.02149416
677.374,0.03110286,0.05644837,0.06008538,0.02197103
677.8561,0.03128621,0.05660041,0.0590966,0.02259945
678.3383,0.03178597,0.05659631,0.05822694,0.02329649
678.8204,0.0326152,0.0564983,0.0575323,0.02395769
679.3025,0.03369089,0.05642078,0.05706861,0.0245024
679.7846,0.03484982,0.05650635,0.05688993,0.02490359
680.2667,0.03588773,0.05689199,0.05703435,0.025207
680.7488,0.03664099,0.05765533,0.05750139,0.02551252
