absorbance_5.1_1A,5.1_1A,5.1_2A,5.1_3A,5.1_4A,5.1_5A
675.9277,0.1284528,0.09092575,0.02848426,0.04579394,0.1127272
676.4098,0.1286678,0.09252147,0.02773936,0.04725014,0.1133972
676.8919,0.1288099,0.09404816,0.02707235,0.04882061,0.1144262
677.374,0.1288745,0.09532688,0.02665418,0.05039698,0.1157708
677.8561,0.1288868,0.09622411,0.02662262,0.05188501,0.1172647
678.3383,0.1288968,0.09667906,0.0270461,0.05321302,0.1186874
678.8204,0.128961,0.09670407,0.02790252,0.05434523,0.119833
679.3025,0.1291083,0.09636325,0.02908253,0.05529987,0.1205943
679.7846,0.1293219,0.09574066,0.03041733,0.05615102,0.1209768
680.2667,0.1295411,0.09491724,0.03171606,0.05701914,0.1210799
680.7488,0.1296953,0.09395536,0.03283348,0.05802384,0.1210348
681.231,0.1297463,0.09291016,0.03369426,0.05924383,0.1209528
681.7131,0.1297276,0.09185001,0.03430504,0.06067558,0.120895
682.1952,0.1297438,0.09086231,0.03472956,0.06222598,0.1208725
682.6773,0.1299468,0.09005756,0.03505528,0.06372578,0.1208811
683.1594,0.1304781,0.08954781,0.0353562,0.06497012,0.120934
683.6415,0.1314002,0.08940068,0.03566613,0.06578952,0.1210702
684.1237,0.1326638,0.08961138,0.0359814,0.06607129,0.1213396
684.6058,0.134103,0.09008362,0.03627139,0.06578466,0.1217655
685.0879,0.1354966,0.09066457,0.0365016,0.0649652,0.1223153
685.57,0.1366136,0.09118094,0.03664315,0.06368501,0.122892
686.0521,0.1372845,0.09150298,0.03667796,0.06203122,0.1233619
686.5342,0.1374385,0.09158735,0.03659154,0.06009658,0.1236116
687.0164,0.1370938,0.09147907,0.03636618,0.05801474,0.1235839
687.4985,0.136342,0.09129281,0.03598513,0.05597886,0.1233158
687.9806,0.1353075,0.09115875,0.03544968,0.0542257,0.1229236
688.4627,0.1341336,0.09118727,0.03480297,0.05301975,0.1225739
688.9448,0.1329573,0.09142604,0.03414697,0.05256172,0.1224185
689.4269,0.1318959,0.09185983,0.0336278,0.05291651,0.1225387
689.9091,0.1310582,0.09243456,0.03342064,0.05398653,0.1229378
690.3912,0.1305295,0.09309277,0.03366863,0.05553164,0.123547
690.8733,0.1303592,0.0938004,0.03443377,0.05725287,0.124268
691.3554,0.1305526,0.09454507,0.03566683,0.05884918,0.1249942
691.8375,0.1310586,0.09532349,0.03720003,0.06011691,0.1256396
692.3196,0.1317803,0.09611952,0.03878879,0.0609804,0.1261422
692.8018,0.1325909,0.09688538,0.0401497,0.06147823,0.1264532
693.2839,0.133379,0.09754932,0.04105993,0.06172454,0.1265385
693.766,0.1340778,0.09803776,0.04140749,0.06184927,0.1263801
694.2481,0.1346794,0.09830236,0.0412205,0.0619623,0.1259848
694.7302,0.1352304,0.09835114,0.04066088,0.06212475,0.1253927
695.2123,0.1358075,0.09825417,0.03998299,0.06236143,0.1246768
695.6945,0.1364879,0.09813377,0.03948354,0.06267849,0.1239331
696.1766,0.1373133,0.09811974,0.03940354,0.06307824,0.1232477
696.6587,0.1382778,0.09831586,0.03988509,0.06356286,0.1226772
697.1408,0.1393237,0.09876724,0.04093201,0.06412435,0.1222348
697.6229,0.1403629,0.09944756,0.04241548,0.06473599,0.1218965
