absorbance_6.10_1 (1),6.10_1 (1),6.10_2,6.10_3,6.10_4
651.3397,0.07586874,0.03042454,0.01075489,0.06093443
651.8218,0.0745743,0.03118607,0.01139577,0.06082475
652.304,0.0729413,0.03191534,0.01218159,0.06108727
652.7861,0.07121931,0.03252201,0.01311608,0.06157601
653.2682,0.06969523,0.03291305,0.01417726,0.06208925
653.7503,0.06861031,0.03300314,0.01531962,0.06243599
654.2324,0.06809249,0.03273585,0.01647453,0.0625011
654.7145,0.06815317,0.03210054,0.01753012,0.06225732
655.1967,0.0686866,0.0311511,0.01833099,0.06176083
655.6788,0.06952193,0.02999454,0.01870688,0.06110495
656.1609,0.07045765,0.02877406,0.01849994,0.06038382
656.643,0.07133133,0.02761932,0.01763101,0.05965303
657.1251,0.07207008,0.02660441,0.01614816,0.05892307
657.6072,0.07270499,0.02574358,0.01424982,0.05818427
658.0894,0.07336331,0.02500572,0.01226116,0.05743882
658.5715,0.07420884,0.02435968,0.01054449,0.05672662
659.0536,0.07538857,0.02381306,0.009443771,0.05613862
659.5357,0.07694595,0.0234305,0.00915576,0.05579277
660.0178,0.07878792,0.02330357,0.009681782,0.05579305
660.4999,0.08067913,0.02350463,0.01083133,0.05620208
660.9821,0.08231249,0.02402302,0.01229114,0.05701001
661.4642,0.08340115,0.02474323,0.01372943,0.05814165
661.9463,0.08374691,0.02545401,0.01485918,0.05947157
662.4284,0.08332507,0.02592621,0.01553067,0.0608658
662.9105,0.08227982,0.02599268,0.01574267,0.06221471
663.3926,0.0808881,0.0256056,0.0156235,0.06345585
663.8748,0.07943802,0.0248473,0.01537449,0.06459267
664.3569,0.07814963,0.02388361,0.01520123,0.06568431
664.839,0.07714425,0.0229136,0.01525425,0.06682891
665.3211,0.07643206,0.02210929,0.01557221,0.06813654
665.8032,0.07596962,0.02162259,0.01606097,0.06970396
666.2853,0.07568388,0.02157179,0.01651571,0.07156886
666.7675,0.07548901,0.02202628,0.0166771,0.07365029
667.2496,0.07522544,0.02289472,0.01642637,0.07564832
667.7317,0.07466286,0.02383868,0.01596867,0.07703818
668.2138,0.07376319,0.02437289,0.0157986,0.07734361
668.6959,0.07278639,0.02422135,0.01627306,0.07651812
669.178,0.07200721,0.02366392,0.01710468,0.07502457
669.6602,0.07139485,0.02324216,0.01768215,0.0734255
670.1423,0.07081546,0.02328675,0.01770087,0.0720825
670.6244,0.07022858,0.02378284,0.01733289,0.07108846
671.1065,0.06967118,0.02457012,0.01692383,0.07036144
671.5886,0.06926026,0.02549038,0.01677577,0.06974697
672.0707,0.06909993,0.02644265,0.01704236,0.06908324
672.5529,0.06923114,0.02738937,0.01770467,0.06826471
673.035,0.06960756,0.02832155,0.01860511,0.06727897
673.5171,0.07010198,0.02925448,0.01948373,0.06623229
673.9992,0.07057422,0.03021437,0.02007405,0.06531074
674.4813,0.07091865,0.03123402,0.02015809,0.06473963
674.9634,0.07113306,0.03233952,0.01965178,0.06469201
675.4456,0.07131574,0.03353867,0.01861955,0.06523448
675.9277,0.07163767,0.03480908,0.01726591,0.06630769
676.4098,0.07227289,0.0360921,0.01587573,0.06774106
676.8919,0.07333913,0.03730289,0.01473837,0.06931291
