absorbance_1.7_1A,1.7_1A,1.7_2A,1.7_3A,1.7_4A,1.7_5
1393.317,0.08989114,0.09282761,0.07479202,0.08256163,0.09653078
1393.799,0.08946829,0.09245051,0.07450503,0.08203201,0.0961562
1394.281,0.08904018,0.09197534,0.07424991,0.08150573,0.09571562
1394.764,0.08866971,0.09144317,0.07403941,0.08105414,0.09520853
1395.246,0.08841992,0.09092826,0.07387899,0.08073103,0.09466022
1395.728,0.08832048,0.0905078,0.07376259,0.08054574,0.09411968
1396.21,0.08835734,0.09022743,0.07367439,0.08046668,0.09363779
1396.692,0.08848356,0.09009516,0.07359289,0.08044019,0.09325629
1397.174,0.08864313,0.090088,0.07349724,0.08041668,0.09299861
1397.656,0.08879043,0.09016846,0.07337175,0.08036614,0.09286988
1398.138,0.08889541,0.09028895,0.07320899,0.08027993,0.09285507
1398.621,0.08895216,0.09040016,0.0730139,0.0801709,0.09291504
1399.103,0.08897787,0.0904644,0.07280432,0.08006645,0.09299557
1399.585,0.08900383,0.0904633,0.07260542,0.07999659,0.09304181
1400.067,0.08905628,0.0904064,0.07243796,0.07998057,0.09302475
1400.549,0.08914165,0.09031875,0.07230982,0.08001868,0.09294514
1401.031,0.08924383,0.09022909,0.0722179,0.080097,0.09282316
1401.513,0.08932923,0.09015866,0.07215207,0.08019373,0.09268272
1401.995,0.08935593,0.09011865,0.07210025,0.08028658,0.09254193
1402.478,0.0892767,0.0901129,0.0720497,0.08035523,0.09241213
1402.96,0.08905046,0.09013457,0.07198842,0.08038218,0.09229446
1403.442,0.08865218,0.09016743,0.07190439,0.08035369,0.09218229
1403.924,0.08809038,0.09018468,0.0717869,0.08026051,0.0920648
1404.406,0.08742023,0.09016082,0.07163124,0.08010546,0.09193619
1404.888,0.08673856,0.09008302,0.07144194,0.07990734,0.09180304
1405.37,0.08615947,0.08996053,0.07123515,0.07969809,0.09168769
1405.852,0.08576718,0.08982109,0.07103466,0.07951136,0.09161746
1406.334,0.08559658,0.08969791,0.07086781,0.07937183,0.09161343
1406.817,0.08563505,0.08961608,0.07076177,0.07929353,0.09168244
1407.299,0.08584277,0.08958405,0.07073961,0.07928126,0.09181575
1407.781,0.08617412,0.08959936,0.07082149,0.0793415,0.09199589
1408.263,0.08659182,0.08965553,0.07102341,0.07948866,0.09220491
