absorbance_2.4_1A,2.4_1A,2.4_2A,2.4_3A
779.5828,0.05056708,0.03641169,0.05472457
780.0649,0.05029198,0.03684962,0.05455041
780.547,0.05027678,0.03727292,0.05441267
781.0291,0.05049778,0.03752975,0.05427562
781.5112,0.05086754,0.03751964,0.05409496
781.9933,0.05127307,0.03722402,0.0538329
782.4755,0.05160494,0.03671018,0.05346759
782.9576,0.05180065,0.03610867,0.05300421
783.4397,0.05185844,0.03556421,0.05247173
783.9218,0.05183111,0.03520526,0.05191766
784.4039,0.05179643,0.03510068,0.05139009
784.886,0.0518185,0.03525424,0.05092495
785.3682,0.05192083,0.03562048,0.05054193
785.8503,0.05207115,0.03613306,0.05024364
786.3324,0.05219633,0.03673162,0.05002635
786.8145,0.05220662,0.03737249,0.04988911
787.2966,0.05203794,0.03802992,0.0498389
787.7787,0.0516743,0.03868162,0.04988911
788.2609,0.0511574,0.03929393,0.05005191
788.743,0.0505688,0.03982216,0.05032754
789.2251,0.05000428,0.04021699,0.05069792
789.7072,0.04954343,0.04044108,0.05112635
790.1893,0.04922139,0.04048852,0.05156843
790.6714,0.04902893,0.04038951,0.0519807
791.1536,0.04892347,0.04020511,0.05233112
791.6357,0.04885606,0.04000032,0.05260614
792.1178,0.04879032,0.0398252,0.05280625
792.5999,0.04871726,0.039692,0.05293797
793.082,0.0486536,0.03957128,0.05300459
793.5641,0.04863056,0.03940001,0.05299901
794.0463,0.04867547,0.03910559,0.0529029
794.5284,0.0487976,0.03863762,0.05269478
795.0105,0.04898328,0.03798292,0.05235916
795.4926,0.04919884,0.037179,0.05190017
795.9747,0.04940434,0.036302,0.05134632
796.4568,0.0495607,0.03545769,0.05075446
796.939,0.04964054,0.0347538,0.0502
797.4211,0.04963198,0.03427392,0.04975975
797.9032,0.0495354,0.03407034,0.0495053
798.3853,0.04936163,0.03414903,0.04948321
798.8674,0.04912917,0.03447411,0.04970625
799.3495,0.04886724,0.03497194,0.05015033
799.8317,0.04861385,0.035553,0.05075714
800.3138,0.0484138,0.03613424,0.05144925
800.7959,0.04831704,0.03665283,0.05213991
801.278,0.04836436,0.03708458,0.05275935
801.7601,0.04857745,0.03744105,0.05326608
802.2422,0.04894789,0.03775761,0.05365279
802.7244,0.04943155,0.03807083,0.05394351
803.2065,0.04995249,0.03839916,0.05418256
803.6886,0.05041106,0.03872995,0.0544215
804.1707,0.05071507,0.03902313,0.05469922
804.6528,0.05080058,0.03922627,0.05503507
805.1349,0.05065455,0.03929543,0.05542456
805.6171,0.0503238,0.03921746,0.05584484
806.0992,0.04990984,0.03901512,0.0562624
806.5813,0.04954856,0.03874265,0.05664255
807.0634,0.04936101,0.03846076,0.05695884
807.5455,0.04942749,0.03822,0.05719375
808.0276,0.04975216,0.03804086,0.05733802
808.5098,0.0502621,0.03791083,0.05738752
808.9919,0.05082032,0.0377944,0.05733892
809.474,0.05126612,0.03765415,0.05718935
809.9561,0.05147074,0.03747278,0.05693945
