absorbance_6.5_1A,6.5_1A,6.5_2A,6.5_3A,6.5_4A,6.5_5A,6.5_6A
682.1952,0.04836214,0.07851254,0.03668503,0.03203776,0.06500731,0.08064051
682.6773,0.04896314,0.07871498,0.03729229,0.03190698,0.06537871,0.08038068
683.1594,0.04949585,0.07904048,0.03791189,0.03196884,0.06596404,0.08017924
683.6415,0.04998534,0.07944288,0.03845891,0.03221127,0.06665248,0.08011046
684.1237,0.05047733,0.07986953,0.03888493,0.032529,0.06732183,0.08027242
684.6058,0.05101956,0.08027702,0.03919686,0.03276374,0.06785168,0.0807527
685.0879,0.05164307,0.0806416,0.03944733,0.03277592,0.06814072,0.08158144
685.57,0.05235235,0.08096011,0.03971362,0.03247807,0.06810327,0.08270431
686.0521,0.05311438,0.08124733,0.04006101,0.03186769,0.06769047,0.08397235
686.5342,0.05385815,0.08153044,0.04050963,0.03101716,0.06690986,0.08518745
687.0164,0.05446834,0.08184751,0.04101989,0.0300582,0.06584384,0.08613396
687.4985,0.05480199,0.08224167,0.04149687,0.02914779,0.06465741,0.08665666
